"","VMH","MC","DMH","PH"
"VMH",0,0.0833333333333333,0.0263157894736842,0.0972222222222222
"MC",0.05,0,0.112280701754386,0.114814814814815
"DMH",0.0131578947368421,0.087719298245614,0,0.119883040935673
"PH",0.0555555555555556,0.103703703703704,0.10233918128655,0
