"","VM-thalamus","VMH","PVH","DMH","AH"
"VM-thalamus",0,0.032967032967033,0,0,0.010989010989011
"VMH",0,0,0.0476190476190476,0,0.0204081632653061
"PVH",0.0256410256410256,0,0,0,0.0476190476190476
"DMH",0.0192307692307692,0,0,0,0.0357142857142857
"AH",0,0,0,0,0
