"","VMH","DMH","VM-thalamus","PH"
"VMH",0,0.0142857142857143,0.0333333333333333,0.0333333333333333
"DMH",0.0285714285714286,0,0.0228571428571429,0.0380952380952381
"VM-thalamus",0,0.0571428571428571,0,0.0533333333333333
"PH",0.0333333333333333,0.0571428571428571,0.0266666666666667,0
