"","PH","MC","PVH","ARH","DMH"
"PH",0,0.0317460317460317,0,0.0204081632653061,0
"MC",0.0198412698412698,0,0.0138888888888889,0.0952380952380952,0.0555555555555556
"PVH",0.0178571428571429,0.0277777777777778,0,0.0357142857142857,0
"ARH",0.0408163265306122,0.0634920634920635,0.0357142857142857,0,0.0357142857142857
"DMH",0.0178571428571429,0.0555555555555556,0,0.0357142857142857,0
