"","VMH","DMH","VM-thalamus","PH"
"VMH",0,0.0333333333333333,0,0.0111111111111111
"DMH",0.019047619047619,0,0.0571428571428571,0.0552380952380952
"VM-thalamus",0.0333333333333333,0.0457142857142857,0,0.0266666666666667
"PH",0.0222222222222222,0.0514285714285714,0.04,0
