"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.0261437908496732,0.037037037037037,0
"DMH",0.0152505446623094,0,0.00840336134453781,0
"PVH",0,0.00840336134453781,0,0
"VMH",0,0.0196078431372549,0,0
