"","VM-thalamus","VMH","PVH","DMH","AH"
"VM-thalamus",0,0.032967032967033,0,0.0384615384615385,0
"VMH",0,0,0,0,0
"PVH",0.0512820512820513,0.0476190476190476,0,0,0
"DMH",0.0384615384615385,0.0357142857142857,0,0,0
"AH",0,0,0,0,0
