"","VMH","MC","DMH","PH"
"VMH",0,0.0333333333333333,0.0263157894736842,0.0416666666666667
"MC",0.0333333333333333,0,0.115789473684211,0.118518518518519
"DMH",0.0394736842105263,0.0947368421052632,0,0.0994152046783626
"PH",0.0694444444444444,0.137037037037037,0.119883040935673,0
