"","VM-thalamus","PH","DMH","VMH","ARH","ZI"
"VM-thalamus",0,0.111111111111111,0.0935960591133005,0.166666666666667,0.0317460317460317,0.1
"PH",0.126984126984127,0,0.260536398467433,0.314814814814815,0.111111111111111,0.177777777777778
"DMH",0.157635467980296,0.231800766283525,0,0.385057471264368,0.118773946360153,0.210344827586207
"VMH",0.238095238095238,0.324074074074074,0.413793103448276,0,0.185185185185185,0.3
"ARH",0.0476190476190476,0.104938271604938,0.118773946360153,0.222222222222222,0,0.0666666666666667
"ZI",0.1,0.188888888888889,0.220689655172414,0.266666666666667,0.155555555555556,0
