"animal","condition","source","target","density"
"day3","lightON","PH","MC",0.0198412698412698
"day3","lightON","PH","PVH",0.0178571428571429
"day3","lightON","PH","ARH",0.0408163265306122
"day3","lightON","PH","DMH",0.0178571428571429
"day3","lightON","MC","PH",0.0317460317460317
"day3","lightON","MC","PVH",0.0277777777777778
"day3","lightON","MC","ARH",0.0634920634920635
"day3","lightON","MC","DMH",0.0555555555555556
"day3","lightON","PVH","PH",0
"day3","lightON","PVH","MC",0.0138888888888889
"day3","lightON","PVH","ARH",0.0357142857142857
"day3","lightON","PVH","DMH",0
"day3","lightON","ARH","PH",0.0204081632653061
"day3","lightON","ARH","MC",0.0952380952380952
"day3","lightON","ARH","PVH",0.0357142857142857
"day3","lightON","ARH","DMH",0.0357142857142857
"day3","lightON","DMH","PH",0
"day3","lightON","DMH","MC",0.0555555555555556
"day3","lightON","DMH","PVH",0
"day3","lightON","DMH","ARH",0.0357142857142857
