"animal","condition","source","target","density"
"night7","ongoing","VM-thalamus","PH",0.126984126984127
"night7","ongoing","VM-thalamus","DMH",0.157635467980296
"night7","ongoing","VM-thalamus","VMH",0.238095238095238
"night7","ongoing","VM-thalamus","ARH",0.0476190476190476
"night7","ongoing","VM-thalamus","ZI",0.1
"night7","ongoing","PH","VM-thalamus",0.111111111111111
"night7","ongoing","PH","DMH",0.231800766283525
"night7","ongoing","PH","VMH",0.324074074074074
"night7","ongoing","PH","ARH",0.104938271604938
"night7","ongoing","PH","ZI",0.188888888888889
"night7","ongoing","DMH","VM-thalamus",0.0935960591133005
"night7","ongoing","DMH","PH",0.260536398467433
"night7","ongoing","DMH","VMH",0.413793103448276
"night7","ongoing","DMH","ARH",0.118773946360153
"night7","ongoing","DMH","ZI",0.220689655172414
"night7","ongoing","VMH","VM-thalamus",0.166666666666667
"night7","ongoing","VMH","PH",0.314814814814815
"night7","ongoing","VMH","DMH",0.385057471264368
"night7","ongoing","VMH","ARH",0.222222222222222
"night7","ongoing","VMH","ZI",0.266666666666667
"night7","ongoing","ARH","VM-thalamus",0.0317460317460317
"night7","ongoing","ARH","PH",0.111111111111111
"night7","ongoing","ARH","DMH",0.118773946360153
"night7","ongoing","ARH","VMH",0.185185185185185
"night7","ongoing","ARH","ZI",0.155555555555556
"night7","ongoing","ZI","VM-thalamus",0.1
"night7","ongoing","ZI","PH",0.177777777777778
"night7","ongoing","ZI","DMH",0.210344827586207
"night7","ongoing","ZI","VMH",0.3
"night7","ongoing","ZI","ARH",0.0666666666666667
