"animal","condition","source","target","density"
"night4","lightON","VM-thalamus","PVH",0
"night4","lightON","VM-thalamus","AH",0
"night4","lightON","VM-thalamus","DMH",0
"night4","lightON","PVH","VM-thalamus",0.00680272108843537
"night4","lightON","PVH","AH",0
"night4","lightON","PVH","DMH",0
"night4","lightON","AH","VM-thalamus",0
"night4","lightON","AH","PVH",0
"night4","lightON","AH","DMH",0
"night4","lightON","DMH","VM-thalamus",0
"night4","lightON","DMH","PVH",0
"night4","lightON","DMH","AH",0
