"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.0615384615384615,0.0576923076923077,0.0384615384615385
"PVH",0.0615384615384615,0,0.1,0.075
"AH",0.0769230769230769,0.125,0,0.0625
"DMH",0.0192307692307692,0.025,0,0
