"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.0707070707070707,0.0222222222222222,0.111111111111111
"PH",0.0404040404040404,0,0.00909090909090909,0.363636363636364
"DMH",0.0222222222222222,0.00909090909090909,0,0
"PVH",0.222222222222222,0.181818181818182,0,0
