"animal","condition","source","target","density"
"night7","lightON","VM-thalamus","PH",0.126984126984127
"night7","lightON","VM-thalamus","DMH",0.103448275862069
"night7","lightON","VM-thalamus","VMH",0.166666666666667
"night7","lightON","VM-thalamus","ARH",0.0317460317460317
"night7","lightON","VM-thalamus","ZI",0.0857142857142857
"night7","lightON","PH","VM-thalamus",0.119047619047619
"night7","lightON","PH","DMH",0.247126436781609
"night7","lightON","PH","VMH",0.305555555555556
"night7","lightON","PH","ARH",0.117283950617284
"night7","lightON","PH","ZI",0.172222222222222
"night7","lightON","DMH","VM-thalamus",0.103448275862069
"night7","lightON","DMH","PH",0.235632183908046
"night7","lightON","DMH","VMH",0.362068965517241
"night7","lightON","DMH","ARH",0.103448275862069
"night7","lightON","DMH","ZI",0.172413793103448
"night7","lightON","VMH","VM-thalamus",0.166666666666667
"night7","lightON","VMH","PH",0.305555555555556
"night7","lightON","VMH","DMH",0.35632183908046
"night7","lightON","VMH","ARH",0.148148148148148
"night7","lightON","VMH","ZI",0.25
"night7","lightON","ARH","VM-thalamus",0.0634920634920635
"night7","lightON","ARH","PH",0.104938271604938
"night7","lightON","ARH","DMH",0.111111111111111
"night7","lightON","ARH","VMH",0.166666666666667
"night7","lightON","ARH","ZI",0.0666666666666667
"night7","lightON","ZI","VM-thalamus",0.0857142857142857
"night7","lightON","ZI","PH",0.183333333333333
"night7","lightON","ZI","DMH",0.16551724137931
"night7","lightON","ZI","VMH",0.266666666666667
"night7","lightON","ZI","ARH",0.0777777777777778
