"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.0196078431372549,0.0423280423280423,0.0246913580246914
"DMH",0.0261437908496732,0,0,0.0196078431372549
"PVH",0.00529100529100529,0.00840336134453781,0,0
"VMH",0,0.0196078431372549,0,0
