"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.0707070707070707,0.0222222222222222,0.111111111111111
"PH",0.0606060606060606,0,0.00909090909090909,0.272727272727273
"DMH",0.0555555555555556,0,0,0.1
"PVH",0.111111111111111,0.454545454545455,0.1,0
