"","DMH","PH","MC","PVH"
"DMH",0,0.2,0.192307692307692,0.210526315789474
"PH",0.2,0,0.0230769230769231,0.0315789473684211
"MC",0.153846153846154,0.0230769230769231,0,0.0263157894736842
"PVH",0.421052631578947,0.0294736842105263,0.0222672064777328,0
