"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"night5","ongoing",1,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",2,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",3,"VM-thalamus",12.002796,0,0,-0.00120692089983065,3.26835230003073
"night5","ongoing",4,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",5,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",6,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",7,"VM-thalamus",0.877517,1,0.589601,-0.0126935269529692,0.135886726455816
"night5","ongoing",8,"VM-thalamus",-0.763612,0,0,0.000148682191718527,-0.326194277921281
"night5","ongoing",9,"VM-thalamus",-2.30136,0.266666666666667,0.355490854577866,0.0161447736733628,-0.759167030409887
"night5","ongoing",10,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",11,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",12,"VM-thalamus",-1.421729,1,0.589601,0.00457472174282359,-0.511495594489109
"night5","ongoing",13,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",14,"PVH",-3.839457,0.3,0.450473395592873,-3.57738372464401e-17,-1.19223804834291
"night5","ongoing",15,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",16,"VM-thalamus",0,0,0,1.16400622052117e-19,-0.111189485540911
"night5","ongoing",17,"VM-thalamus",0,0,0,2.16916791703178e-19,-0.111189485540911
"night5","ongoing",18,"VM-thalamus",-1.010511,0,0,0.0147176023570241,-0.395711870931764
"night5","ongoing",19,"VMH",0,0,0,2.16916791703178e-19,-0.111189485540911
"night5","ongoing",20,"VMH",0,0,0,2.16916791703178e-19,-0.111189485540911
"night5","ongoing",21,"VMH",0,0,0,2.16916791703178e-19,-0.111189485540911
"night5","ongoing",22,"VM-thalamus",-0.774208,0,0,0.00660028618695473,-0.329177718176361
"night5","ongoing",23,"VM-thalamus",-3.796521,0.333333333333333,0.20547428208674,0.000192704162834502,-1.18014886461394
"night5","ongoing",24,"VM-thalamus",10.504711,0.333333333333333,0.364683666666667,1,2.84654717597146
