"","VM-thalamus","PH","DMH","VMH","ARH","ZI"
"VM-thalamus",0,0.119047619047619,0.103448275862069,0.166666666666667,0.0634920634920635,0.0857142857142857
"PH",0.126984126984127,0,0.235632183908046,0.305555555555556,0.104938271604938,0.183333333333333
"DMH",0.103448275862069,0.247126436781609,0,0.35632183908046,0.111111111111111,0.16551724137931
"VMH",0.166666666666667,0.305555555555556,0.362068965517241,0,0.166666666666667,0.266666666666667
"ARH",0.0317460317460317,0.117283950617284,0.103448275862069,0.148148148148148,0,0.0777777777777778
"ZI",0.0857142857142857,0.172222222222222,0.172413793103448,0.25,0.0666666666666667,0
