"","PH","MC","PVH","ARH","DMH"
"PH",0,0.0357142857142857,0,0,0
"MC",0.0436507936507936,0,0.0277777777777778,0.0714285714285714,0.0277777777777778
"PVH",0.0178571428571429,0.0694444444444444,0,0.0357142857142857,0
"ARH",0.0306122448979592,0.0476190476190476,0,0,0.0714285714285714
"DMH",0,0.0555555555555556,0,0,0
