"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.0230769230769231,0.0384615384615385,0
"PVH",0.0307692307692308,0,0.1,0.05
"AH",0.0384615384615385,0.05,0,0
"DMH",0.0192307692307692,0.05,0.0625,0
