"","DMH","PH","MC","PVH"
"DMH",0,0.36,0.307692307692308,0.421052631578947
"PH",0.24,0,0.0153846153846154,0.0231578947368421
"MC",0.230769230769231,0.0230769230769231,0,0.01417004048583
"PVH",0.315789473684211,0.0252631578947368,0.0364372469635627,0
