0, 0, 3.82512, 0, 0, 0, 2.661588, 0, 0, 0, 2.2224, 1.466061, 2.225605, 0.324972, 0, 2.575758, 1.743295, 0.739592, 1.59733, 0.340156, 1.032876, 0.524727, 0, 1.606914, 1.568346, 0.225728, 0, 0, 1.466666, 0, 0, 0, 0.463214, 0, 2.626099, 2.163898, 0.677075, 0.338437, 0.527849, 0.667493, 3.366732, 1.477009, 0.240226, 0, 0.662974, 0.936265, 0.640459
0, 0, 1.99233, 0, 0, 0, 0.689957, 0, 0, 0, 0.547656, 0, 0, 0.132441, 0, 0.670233, 0.648549, 0.312611, 0.473408, 0, 0.28245, 0.17311, 4.449534, 0.460652, 0, 0, 0.108385, 0, 0.453071, 0.211723, 0, 0.20689, 0.242672, 0.15684, 0.991022, 0.418907, 0.22216, 0.157313, 0.190351, 0, 1.4804, 0.434679, 0, 5.088115, 0.270802, 0.247665, 0
4.453823, 1.795018, 0, 1.926123, 1.913042, 0, 0, 0, 1.611833, 0, 0, 4.29532, 0, 1.45589, 0, 0, 0, 2.844689, 4.323423, 1.704292, 3.426667, 2.126184, 0, 4.664792, 4.77423, 0.839168, 1.094806, 0, 2.916107, 0.433544, 1.591954, 2.166855, 2.120803, 1.976423, 0, 3.548287, 2.490397, 1.714334, 2.169883, 3.428006, 0, 4.550366, 0.931806, 0, 3.272104, 3.712297, 3.021408
0, 0, 2.34013, 0, 0, 0, 1.175415, 0, 0.134429, 0, 0.532687, 0.76575, 0.641553, 0, 0, 0.889742, 0.661974, 0.276449, 0.624011, 0, 0.399623, 0.247885, 3.473712, 0.520288, 0.557422, 0, 0.152469, 0, 0.889046, 0.179253, 0, 0.252549, 0.236284, 0, 1.04402, 1.143973, 0.373265, 0.159197, 0, 0, 1.250071, 0.443361, 0.133431, 5.981192, 0, 0.330264, 0.281052
0.44966, 0.178802, 2.560579, 0.276231, 0, 0, 0, 0, 0.163668, 0, 0, 0.521843, 0.686473, 0, 0, 0.745514, 0, 0.210642, 0.589323, 0, 0, 0.230141, 4.0979, 0, 0.4374, 0.22232, 0, 0, 0, 0.203532, 0.236463, 0.350895, 0.212949, 0.260809, 0.867058, 0, 0.230647, 0, 0, 0.340754, 1.808982, 0, 0.141893, 4.613205, 0.29991, 0.481873, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.660053, 0.751204, 0, 1.173364, 0.69295, 0, 0, 0, 0.628093, 0, 1.725001, 2.269037, 2.435407, 0.64684, 0, 4.868038, 1.494252, 0, 2.219427, 0, 1.156483, 0, 0, 1.807164, 2.113688, 0.497006, 0.518592, 0, -0.502632, 0, 0.454089, 0.673517, 0, 0.795096, 4.071172, -0.460581, 0, 0, 0.616355, 0.823075, 4.444096, 1.51861, 0.876434, 0, 1.51626, 1.544059, 0.547722
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.398128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.279687, 0.149973, 1.628934, 0.161109, 0.170659, 0, 0.590156, 0, 0, 0, 0.310889, 0, 0.414891, 0.152049, 0, 0, 0.292909, 0.200529, 0.453869, 0, 0.207591, 0.123957, 3.155852, 0, 0, 0.151469, 0.130669, 0, 0, 0.200251, 0.127524, 0, 0.143992, 0, 0.684245, 0, 0.188064, 0, 0, 0, 1.251785, 0.390199, 0.178126, 3.794083, 0.226855, 0.266159, 0.202456
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.944821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.150468, 0.481652, 0, 0.482549, 0.485035, 0, 2.148731, 0, 0.286706, 0, 0, 5.097476, 2.998483, 0.425075, 0, 4.059571, 2.538454, 0.618036, 4.275014, 0.549366, 1.154797, 0.53051, 0, 2.475855, 1.596773, 0.556402, 0.325714, 0, 1.281784, 0, 0.234233, 0.871927, 0.795167, 0.658593, 5.794857, 1.45156, 0.813744, 0.552432, 0, 0, 0, 0, 0, 0, 1.628871, 1.51073, 1.346452
1.150113, 0.339511, 5.028613, 0.580142, 0.523873, 0, 1.367781, 0, 0.337936, 0, 0, 0, 1.430079, 0.519019, 0, 2.66318, 1.187911, 0.7173, 1.183801, 0, 0, 0.514011, 0, 0, 0, 0, 0, 0, -0.230277, 0.184198, 0, 0, 0, 0.542891, 1.950478, 1.27571, 0.637122, 0, 0.378987, 0.618709, 4.161861, 0.786401, 0, 0, 0.638196, 1.056801, 0
1.57462, 0, 0, 0.546206, 0, 0, 2.163698, 0, 0.339217, 0, 2.671913, 1.789154, 0, 0.459566, 0, 2.855547, 1.798257, 0.489322, 2.175682, 0, 0.964469, 0.608467, 0, 2.004759, 0, 0.469658, 0.312107, 0, 0.699673, 0.184322, 0.403912, 0.960978, 0.555273, 0.815458, 2.909334, 1.528229, 0.592761, 0, 0.816481, 0.875262, 4.643848, 1.67373, 0, 0, 1.02053, 1.067749, 0.684769
