0, 2.34114, 0.914093, 1.629762, 0.939212, 0.631919, -0.242495, 1.049276, 0.665683, 4.552283, 0, 1.599186, 1.718051, 1.486089, 2.338094, 0, 3.199066, 1.276113, 1.544821, 2.042658, 2.606304, 1.179763, 1.181332, 1.180026, 1.128905, 1.240293, -0.105596, 0, -0.404519, 0.772159, 0.895953, 2.86594, 0.73865, 1.354547, 0
0, 0, 0, 1.359041, 0.691479, 0, 1.109213, 0.961167, 0.88917, 4.585179, 0.915559, 1.931693, 2.180695, 1.508398, 2.850612, 0, 3.95429, 0, 2.005124, 2.275435, 3.21365, 0, 1.100351, 0, 0, 0, -0.126278, 1.461187, 1.077437, 0, 0.885511, 0, 0, 1.223356, 0.942542
1.122777, 1.280921, 0, 1.374357, 0.789518, -0.152321, -0.198759, 0.743436, -0.149132, 2.883945, -0.152763, 1.072844, 0.958, 0.827967, 1.375193, 0, 2.229831, -0.240647, 0.687311, 1.155182, 1.202042, 1.017332, -0.371325, 0.646926, -0.150654, 1.032499, -0.261957, 0.855874, -0.298559, 0.68427, -0.192754, 1.877367, 0.907871, 0.635481, 0.536903
0.9837, 1.561345, 0.883762, 0, 0.565631, 0.833846, 0.678297, 0.608245, 0.68204, 4.072302, 0.647658, 1.235953, 1.100617, 1.081108, 1.623569, 0, 3.09755, 0, 1.229516, 1.765141, 1.803652, 1.114199, 0.596418, 0, 0.587391, 0, 0.65001, 0.767145, 0.599223, 0.971237, 0.584672, 2.338023, 1.02507, 0.642475, 0.992615
0.85812, 0.996871, 0.698313, 1.215363, 0, -0.15672, -0.272051, -0.165203, -0.278224, 2.704123, -0.127224, 0.865774, 1.092502, 0.871737, 1.49485, 0, 2.109703, 0.743914, 0.618623, 0.858011, 1.498866, 0.678576, -0.255461, 0.5604, 0.801527, 0.74575, -0.155193, 0, -0.420069, 0, -0.319113, 1.562626, 0.760993, 0.700951, 0.546585
0, 0.942, -0.164083, 0.843723, -0.185798, 0, -0.217316, -0.130354, -0.212161, 2.249127, 0.527489, -0.260514, 0, 0.520159, 0.677946, 0, 0.964398, -0.206401, 0.999216, 0, -0.5535, 0, -0.345073, 0.345489, -0.09982, -0.202168, -0.102357, 0, -0.384748, -0.201658, -0.281862, -0.195954, 0.597681, 0.417707, 0
0, 1.268914, -0.167643, 0.725504, -0.210947, -0.178189, 0, -0.088343, -0.263561, 2.125837, 0, -0.256848, -0.343832, -0.263451, -0.729444, 0, 1.011904, -0.371722, -0.351994, 0.764578, -0.789034, -0.192104, -0.348074, -0.161295, -0.04909, -0.21831, -0.054746, -0.173954, -0.491189, -0.338893, -0.429376, -0.307888, -0.16597, 0.694598, -0.220556
0, 0, 0.534685, 1.012896, -0.239463, -0.232409, -0.331567, 0, -0.256267, 1.69167, 0, -0.208338, 0, 0.697072, 0.957015, 0, 1.146259, -0.255616, 0.677125, 1.006865, 1.203568, 0.61263, -0.305475, -0.147411, -0.098885, -0.106904, -0.127524, -0.111924, -0.338989, -0.260837, -0.289087, 1.393476, -0.125425, 0.578415, 0.478839
-0.154354, 0.883276, -0.178288, 0.916485, -0.261559, -0.200749, -0.373363, -0.1606, 0, 1.836247, -0.085537, -0.219554, -0.271361, 0.520759, -0.562875, 0, 1.411076, -0.253486, -0.318921, 0.710568, -0.712699, -0.174644, -0.278811, -0.163641, -0.099107, -0.212586, -0.179659, -0.113308, -0.399212, -0.243787, -0.367802, 1.214618, -0.17716, 0.615124, -0.146723
4.813785, 5.190008, 3.310056, 4.087359, 3.399086, 2.535357, 2.813174, 3.277778, 2.78893, 0, 2.821332, 4.714637, 3.625176, 3.587839, 0, 0, 0, 4.340494, 3.96397, 0, 0, 4.80246, 3.277859, 3.034032, 2.783954, 3.56833, 2.378373, 3.872104, 3.363587, 4.42985, 3.035121, 0, 3.724833, 3.189781, 3.636881
