0, 1.529541, 0, 0, 0, 0.192928, 0, 0, 0, 5.717821, 0.738189, 0.15112, 0.710818, 0, 0.767363, 0.284007, 0, 0.261652, 0.268683, 0.284893, 0.150353, 0, 0, 0.48263, 0.681078, 0, 0, 0.184841, 0.20377, 0, 0.225318, 0, 0.341415, 0.465083, 0, 0, 0, 0.188444, 1.573281, 0.22097, 0.529069, 0, 0.109896, 0, 0.618494, 0, 0.296505, 0.107863, 0.878693, 0.214967, 0, 0.180653, 0.153677, 0, 0, 0.685397, 0, 0, 0, 0, 1.726538
2.051426, 0, 0, 1.152569, 0, 3.834491, 3.738111, 0, 1.452003, 0, 4.658913, -0.425527, 3.26941, 1.086831, 4.584477, 1.188394, 1.758304, 1.866884, 2.629148, 0, -0.220069, 0, -0.477446, 3.532446, 4.638383, -0.367341, 3.439965, 2.612348, -0.526676, 1.635578, 1.309492, 0, 0, 4.763745, 1.51364, 3.81383, 3.231804, 0.395779, 6.288726, 1.558426, 0, 0, 0.767872, 4.20888, 7.691074, 1.600019, 3.274165, 0.480986, 4.640786, 1.512214, -1.240282, 0.933761, 1.730569, 0.982373, 3.552877, 4.322613, 1.029073, -0.925975, 2.837316, 3.70365, 4.775253
0, 0, 0, 0, 0.401145, 0.201509, 0, 0, 0, 4.549695, 2.241468, 0, 1.010154, 0.272922, 1.214466, 0.382611, 0, 0.4965, 0.361359, 0, 0, 2.315944, 0, 0.740152, 1.089937, 0.221107, 0.525372, 0.219727, 0, 0.408789, 0, 0.571766, 3.175077, 0.822525, 1.666836, 0.926927, 0.640097, 0, 3.014073, 0, 1.049803, 0.383778, 0, 0.625905, 0.758283, 0, 0.34498, 0, 1.006318, 0.21149, 0, 0, 0, 0, 1.28127, 0.858014, 0.217944, 0, 0.690064, 0, 3.058772
0.149482, 1.486188, 0.147957, 0, 0, 0.182638, 0, 4.53388, 0.179964, 2.839403, 0.5693, 0.169543, 0.284346, 0.137338, 0, 0.172336, 0.136677, 0.161977, 0.221808, 0.148573, 0.248184, 0.204064, 0.184193, 0.252673, 0.262462, 0.190224, 0.205847, 0.228146, 0, 0.221687, 0.187031, 0, 0.262736, 0.204482, 0, 0, 0.15826, 0.201803, 0.581965, 0.185717, 0, 0.205105, 0.224555, 0, 0.285969, 0.138708, 0, 0.313203, 0.315097, 0.150512, 0.12007, 0.13154, 0.160635, 0.142696, 0, 0, 0.141774, 0.159676, 0, 0.144121, 0.629407
0.402512, 0, 0, 0, 0, 0.368793, 0, 0, 0.316487, 0, 3.699647, 0.359881, 1.476986, 0, 1.369939, 0.519956, 0.442748, 0.750971, 0, 0, 0, 0.614483, 0, 0.902926, 1.445185, 0, 0.979431, 0.427728, 0.473831, 0.523215, 0.439264, 1.196089, 3.054266, 1.730804, 1.344421, 1.235674, 0.836039, 0, 4.503165, 0, 1.961328, 0.836649, 0, 1.416963, 1.307345, 0, 0.534536, 0, 1.960269, 0.314669, 0.786409, 0, 0, 0, 2.288999, 1.521104, 0.44924, 0.635104, 1.022933, 0, 4.145788
0, 3.736242, 0, 0.098606, 0, 0, 0, 0, 0.284701, 3.818861, 1.184216, 0.16811, 0.491152, 0.193149, 0.565084, 0.240641, 0.183912, 0.355774, 0, 0.263594, 0.152393, 0.49889, 0.161111, 0.433661, 0.538602, 0.181719, 0.355424, 0.150712, 0, 0, 0, 0.332781, 1.293905, 0.581661, 0.832486, 0.47633, 0, 0.167821, 1.86124, 0.202274, 0.754939, 0.36652, 0.209905, 0.550568, 0.609513, 0, 0, 0.16654, 0.657262, 0.228992, 0.228348, 0.206945, 0.200486, 0.147021, 0.767166, 0.512598, 0.178944, 0, 0.370718, 0, 2.760809
0, 3.994954, 0, 0.134814, 0, 0.146074, 0, 0, 0, 3.224621, 1.716671, 0, 0.739916, 0, 0.816846, 0, 0, 0.361392, 0, 0, 0, 1.059905, 0, 0.574913, 0.521812, 0.200896, 0, 0, 0, 0, 0, 0.438639, 2.213254, 0.663609, 1.42185, 0.737422, 0, 0.159336, 2.22483, 0.181334, 0.94731, 0.317475, 0.092117, 0.403006, 0.535303, 0, 0, 0, 0.526076, 0, 0.277201, 0, 0.218474, 0, 0.939678, 0.389536, 0.208206, 0, 0.654426, 0, 2.76344
0, 0, 0, 5.497942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58254, 0, 0, 0, 0, 5.11049, 0, 0, 0, 0, 6.362311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.278406, 0, 0.30578, 0.131479, 0.337787, 0, 0.213174, 0, 0, 4.887722, 0.485777, 0, 0.308653, 0.226862, 0, 0, 0, 0, 0, 0, 0.125468, 0.179731, 0.129329, 0.368715, 0, 0.243811, 0.344258, 0.152697, 0, 0.276117, 0.140012, 0, 0.322369, 0.408966, 0, 0.37249, 0, 0.124704, 1.033988, 0.150963, 0.297092, 0.267934, 0.126258, 0.458905, 0.473393, 0.161248, 0.336824, 0.232116, 0.423842, 0, 0.156645, 0.229498, 0.170016, 0.22909, 0.468334, 0.452532, 0.141336, 0.315515, 0, 0.284908, 0.663275
4.9536, 0, 4.312049, 3.422431, 0, 3.463563, 3.177718, 0, 4.239247, 0, 0, 4.820125, 0, 4.997743, 0, 0, 4.785543, 0, 0, 0, 3.611192, 0, 3.530593, 0, 0, 4.458237, 0, 4.50896, 0, 0, 3.723952, 0, 0, 0, 0, 0, 0, 3.532816, 0, 4.414909, 0, 0, 2.344196, 0, 0, 5.234226, 0, 2.751709, 0, 4.718701, 0, 4.234461, 4.630076, 3.458282, 0, 0, 0, 0, 0, 0, 0
0, -1.836, 2.055523, 0.421396, 2.724386, 1.074069, 1.304737, 0, 0.709616, 0, 0, 0, 2.186073, 1.032805, 3.186137, 0.756896, 0.747646, 1.17898, 1.237447, 0.912414, 0.481326, 0, 0.75706, 2.328377, 2.980984, 0, 1.770974, 0.887306, 0, 1.626309, 0, 0.858637, 0.852848, 2.668214, 0.975468, 3.033756, 1.824868, 0.196189, 3.812546, 0, 1.958745, 1.700975, 0, 2.06084, 3.667425, 0.511461, 1.417084, 0, 3.352087, 0.564874, 0, 0.479333, 0, 0, 2.836812, 3.380635, 0.582221, 1.056586, 1.882144, 0.908978, 0
