0, 0.19027, 0.284693, -0.113179, 0.148479, -0.031008, -0.034748, 0, -0.034309, -0.026624, 0.075816, -0.068673, 0.073993, 0.313654, 0.482994, 0.272795, 0.130355, -0.169612, -0.212718, 0.109314, -0.33917, -0.103222, -0.059871, 0, 0, -0.720148, -0.016769, 0, 0, -0.072447, -0.045334, -0.13406, -0.096597, -0.110893
0.39361, 0, 0.213091, 0.316386, 0, 0, 0, -0.020085, 0, 0.062634, 0.132398, 0.071096, 0.09616, 0.182826, 0.033217, 0.075775, -0.009198, 0.341721, 0.357255, -0.009741, 0.68582, 0, 0, 0, 0, 0.662417, -0.011922, 0, 0, 0.356571, 0.288326, 0.214888, 0.239236, 0.243675
0.401411, 0.172708, 0, 0.300769, 0.081634, 0, 0.086422, -0.024973, 0, 0, 0.069891, 0.070557, 0.057507, 0.268354, 0, 0.087967, -0.01013, 0.367105, 0.385793, 0.042079, 0.606052, 0, 0, 0, 0, 0.701881, 0.044287, 0, 0, 0.328578, 0.351087, 0.208665, 0.30901, 0.297897
-0.338678, 0.230837, 0.273456, 0, 0.139341, 0, 0.120713, 0.261148, 0.136905, -0.018115, -0.047811, -0.064657, -0.020658, -0.025438, 0.268291, 0.23992, 0.089883, -0.1307, -0.207577, 0.151525, -0.385589, 0.345241, -0.096209, 0, -0.021428, -0.677181, -0.022844, 0, 0, -0.217296, -0.161066, -0.135777, -0.164071, -0.175015
0.060019, 0, 0, 0, 0, 0, 0, 0, 0.106412, 0, 0, 0, 0, 0.060608, 0, -0.010683, 0, 0, 0.061983, 0, 0, 0, 0.162271, 0, 0, 0.193222, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.070088, 0, 0, 0.102075, 0, 0, 0, 0, -0.017481, 0.101941, 0, 0.062958, 0, 0, -0.028169, -0.048491, 0, -0.103896, 0, 0, 0, 0, -0.105511, 0, 0, 0, 0.116515, 0.088488, 0, 0, 0
0, 0, 0, 0.109499, 0, 0.120908, 0, 0, 0, 0, 0, -0.022184, 0.097766, 0, 0.105126, 0, 0, -0.025479, -0.053388, 0, -0.099467, 0, 0, 0, 0, -0.083193, 0.049392, 0.028442, 0, 0.151821, 0, 0, 0.124825, 0.100984
0.353776, -0.017472, -0.030018, 0.411941, 0, 0, 0, 0, 0, 0, 0.155941, 0, 0.093, 0.130006, 0, 0, -0.014259, 0.195762, 0.20793, 0, 0.356931, 0, 0, 0, -0.03668, 0, 0, 0, 0, 0.346, 0.350365, 0.09299, 0.316725, 0.365826
-0.041735, 0, 0, 0.090967, 0, 0, -0.030396, 0, 0, 0, 0, -0.019939, -0.022279, 0.139351, 0, 0, 0, -0.032215, -0.041782, 0, -0.060407, 0, 0, 0, 0, 0, -0.026748, 0, 0, 0, 0.188295, 0, 0, 0.162225
-0.030358, 0, 0, -0.030087, 0, 0, 0, 0, 0, 0, -0.020361, 0, -0.022917, 0, 0.101688, -0.035607, 0, -0.034891, -0.037063, 0, -0.042173, 0, 0, -0.0253, 0, -0.065286, 0, 0, 0, 0, 0, -0.029738, 0, 0
