0, -0.741106, 0, 0, 0, -0.04424, 0, -0.084075, 0.407234, -0.262111, -0.372204, -0.116418, 0, -0.17392, -0.305207, -0.282805, -0.367735, -0.203557, -0.375303, -0.193546, 0, 0, 0, -0.086149
-0.644307, 0, -0.104687, 0, 0.226191, -0.068322, -0.070294, 0, 0.148922, -0.20802, -0.287353, 0, 0, -0.103388, -0.299693, -0.243594, -0.292784, -0.140474, -0.282844, -0.107823, 0, 0, -0.042672, -0.037176
-0.184778, -0.193818, 0, 0, 0, -0.082046, -0.036453, -0.068573, 0.100971, -0.051869, -0.140734, 0, 0, -0.081035, 0, -0.080597, -0.175433, -0.047699, -0.070917, -0.079345, 0, 0, 0, 0
0, -0.05812, 0, 0, 0, 0, 0, -0.032727, 0, 0, -0.094162, 0.181365, 0, 0, 0, 0, -0.033125, -0.038186, 0, 0, 0, 0, 0, -0.033182
0, 0, 0, 0, 0, 0, 0, -0.026561, 0, 0, 0.216299, 0, 0, 0.100756, 0, 0, 0, 0.136044, -0.069322, 0, 0, 0, 0, 0
-0.215424, -0.172065, -0.072962, 0, -0.062432, 0, 0.127395, -0.050964, 0.113494, -0.110676, -0.118699, 0, -0.057824, -0.042396, -0.159819, -0.080378, -0.080199, -0.065951, -0.114223, -0.069145, 0, 0, 0, 0
-0.34062, -0.041959, -0.228039, -0.024467, 0.123086, -0.187192, 0, -0.086971, -0.043005, -0.098082, -0.192633, -0.033542, 0, -0.085628, -0.094348, -0.090093, -0.073896, -0.074894, -0.161138, -0.088176, 0, 0, 0, -0.026179
-0.195033, -0.10965, -0.03641, 0, -0.040751, -0.078552, -0.026063, 0, 0.120632, -0.081316, -0.098098, 0.154885, -0.082991, -0.036271, -0.103758, 0, -0.045806, -0.029339, -0.064532, -0.026125, 0.094284, 0, -0.024419, 0
-0.189731, 0, -0.144045, 0, 0.129165, -0.083683, -0.071913, -0.100739, 0, -0.070777, -0.126221, 0.118457, 0, -0.057526, 0, -0.044023, -0.068874, -0.075976, -0.140666, -0.048005, 0.07198, 0, 0, -0.036749
0, -0.073624, -0.045845, 0, 0, -0.04793, -0.021717, -0.035312, 0.086483, 0, -0.059944, 0, 0, -0.033048, -0.118326, -0.121207, -0.141261, -0.051877, -0.057269, -0.029382, 0, 0, 0, 0
-0.350611, -0.167076, -0.047171, 0, 0, -0.059904, 0, -0.038333, 0.288602, -0.068289, 0, 0, 0, -0.043585, -0.070628, -0.161789, -0.123502, -0.061038, -0.13659, -0.025863, 0, 0, 0, -0.02427
-0.252541, -0.084334, -0.07516, 0, 0, -0.108533, -0.050174, -0.052836, 0.070709, -0.071209, -0.09859, 0, -0.673652, -0.048371, -0.070808, 0, -0.040827, -0.062147, -0.129274, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, -0.056037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.038683, 0, -0.101415, 0, 0, 0, 0
-0.325981, -0.257863, -0.13657, 0.128879, 0.105167, -0.128286, -0.074098, -0.079645, -0.040144, -0.111929, -0.163989, 0, 0, 0, -0.122196, -0.110815, -0.142269, -0.101178, -0.149682, -0.081147, 0.094046, 0, 0, -0.026673
0, 0.672722, 0.452124, 0, 0, 0.477009, 0, 0, -0.081394, -0.07077, 0, 0, 0, 0.386434, 0, -0.23237, 0, 0, 0.389128, 0.248723, 0, 0, 0, -0.056777
0, 0.698181, 0, -0.060252, 0.214777, 0, -0.046339, 0, -0.026866, -0.066178, 0, -0.039882, 0, 0.166342, -0.100095, 0, -0.031094, 0, 0.347271, 0.272084, 0, 0, 0, 0
-0.149712, -0.254353, -0.099466, -0.04108, 0.192713, -0.095369, -0.072933, -0.114326, -0.040769, -0.160643, -0.114461, 0, -0.059023, -0.084991, -0.187718, -0.083177, 0, -0.079155, -0.116541, -0.070159, 0, 0, -0.022311, -0.027127
-0.262337, -0.127979, -0.094061, -0.04439, 0, -0.076987, -0.064505, -0.081971, 0, -0.074433, -0.143236, 0, 0, -0.074572, -0.062326, -0.064363, -0.088826, 0, -0.116137, -0.059136, 0, 0, 0, -0.034353
-0.466421, -0.25299, -0.091247, 0, 0, -0.071832, 0, -0.132342, 0.228723, -0.056945, -0.201459, 0, 0, -0.044873, -0.159102, -0.1416, -0.158444, -0.068959, 0, -0.04164, 0, 0, 0, 0
-0.291918, -0.122674, -0.078906, 0, 0.159286, -0.064068, -0.041569, -0.072919, 0, -0.072634, -0.134195, 0.11512, 0, -0.045627, -0.103882, -0.087544, -0.115964, -0.037796, -0.155745, 0, 0, 0, 0.072443, -0.023926
0, -0.031195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11611, 0, 0.078274, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, -0.029271, 0, 0, 0, 0, -0.02024, 0, 0.087331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.062723, -0.034531, -0.052019, 0, 0.108894, -0.028866, -0.02637, -0.026831, 0.112345, -0.025883, -0.048567, -0.01475, 0, 0, 0, -0.049973, -0.036076, -0.023692, -0.078, -0.016875, 0, -0.015649, 0, 0
