animal,neuron_id,region6,region9,region_raw,ei
day1,114,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,115,PVH,PVH,paraventricular hypothalamus,E
day1,116,PVH,PVH,paraventricular hypothalamus,E
day1,117,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,118,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,119,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,120,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,121,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,122,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,123,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,124,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day1,125,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day1,126,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,1,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,2,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,3,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,4,PVH,PVH,paraventricular hypothalamus,E
night1,5,PVH,PVH,paraventricular hypothalamus,E
night1,6,PVH,PVH,paraventricular hypothalamus,E
night1,7,PVH,PVH,paraventricular hypothalamus,E
night1,8,AH,Anterior HT,anterior hypothalamus,E
night1,9,AH,Anterior HT,anterior hypothalamus,I
night1,10,AH,Anterior HT,anterior hypothalamus,E
night1,11,PVH,PVH,paraventricular hypothalamus,E
night1,12,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,13,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,14,PVH,PVH,paraventricular hypothalamus,E
night1,15,PVH,PVH,paraventricular hypothalamus,E
night1,16,PVH,PVH,paraventricular hypothalamus,E
night1,17,AH,Anterior HT,anterior hypothalamus,E
night1,18,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,19,DMH,DMH,dorsomedial hypothalamus,E
night1,20,DMH,DMH,dorsomedial hypothalamus,E
night1,21,DMH,DMH,dorsomedial hypothalamus,E
night1,22,DMH,DMH,dorsomedial hypothalamus,E
night1,23,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,24,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,25,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,26,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,27,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,28,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night1,29,PVH,PVH,paraventricular hypothalamus,E
