animal,neuron_id,region6,region9,region_raw,ei
day3,19,MC,Mammillary Complex,mammillary complex,I
day3,20,MC,Mammillary Complex,mammillary complex,I
day3,21,MC,Mammillary Complex,mammillary complex,E
day3,22,PVH,PVH,paraventricular hypothalamus,E
day3,23,PH,PH,posterior hypothalamus,E
day3,24,PVH,PVH,paraventricular hypothalamus,E
day3,25,PVH,PVH,paraventricular hypothalamus,I
day3,26,ARH,ARH,arcuate hypothalamus,I
day3,27,ARH,ARH,arcuate hypothalamus,E
day3,28,ARH,ARH,arcuate hypothalamus,I
day3,29,PVH,PVH,paraventricular hypothalamus,I
day3,30,MC,Mammillary Complex,mammillary complex,I
day3,31,PH,PH,posterior hypothalamus,E
day3,32,DMH,DMH,dorsomedial hypothalamus,E
day3,33,DMH,DMH,dorsomedial hypothalamus,I
day3,34,DMH,DMH,dorsomedial hypothalamus,I
day3,35,DMH,DMH,dorsomedial hypothalamus,I
day3,36,MC,Mammillary Complex,mammillary complex,I
day3,37,PH,PH,posterior hypothalamus,I
day3,38,PH,PH,posterior hypothalamus,E
day3,39,PH,PH,posterior hypothalamus,E
day3,40,PH,PH,posterior hypothalamus,I
day3,41,MC,Mammillary Complex,mammillary complex,I
day3,42,MC,Mammillary Complex,mammillary complex,I
day3,43,ARH,ARH,arcuate hypothalamus,E
day3,44,ARH,ARH,arcuate hypothalamus,E
day3,45,ARH,ARH,arcuate hypothalamus,E
day3,46,ARH,ARH,arcuate hypothalamus,E
day3,47,PH,PH,posterior hypothalamus,I
day4,1,VMH,Ventromedial HT,ventromedial hypothalamus,I
day4,2,VMH,Ventromedial HT,ventromedial hypothalamus,E
day4,3,DMH,DMH,dorsomedial hypothalamus,I
day4,4,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day4,5,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day4,6,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day4,7,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day4,8,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day4,9,VMH,Ventromedial HT,ventromedial hypothalamus,I
day4,10,VMH,Ventromedial HT,ventromedial hypothalamus,I
day4,11,VMH,Ventromedial HT,ventromedial hypothalamus,I
day4,12,VMH,Ventromedial HT,ventromedial hypothalamus,E
day4,13,DMH,DMH,dorsomedial hypothalamus,E
day4,14,DMH,DMH,dorsomedial hypothalamus,E
day4,15,DMH,DMH,dorsomedial hypothalamus,I
day4,16,DMH,DMH,dorsomedial hypothalamus,I
day4,17,DMH,DMH,dorsomedial hypothalamus,I
day4,18,DMH,DMH,dorsomedial hypothalamus,E
day4,19,DMH,DMH,dorsomedial hypothalamus,I
day4,20,DMH,DMH,dorsomedial hypothalamus,I
day4,21,DMH,DMH,dorsomedial hypothalamus,E
day4,22,DMH,DMH,dorsomedial hypothalamus,I
day4,23,DMH,DMH,dorsomedial hypothalamus,E
day4,24,DMH,DMH,dorsomedial hypothalamus,E
day4,25,DMH,DMH,dorsomedial hypothalamus,E
day4,26,DMH,DMH,dorsomedial hypothalamus,E
day4,27,DMH,DMH,dorsomedial hypothalamus,E
day4,28,DMH,DMH,dorsomedial hypothalamus,E
day4,29,DMH,DMH,dorsomedial hypothalamus,E
day4,30,DMH,DMH,dorsomedial hypothalamus,E
day4,31,DMH,DMH,dorsomedial hypothalamus,E
day4,32,DMH,DMH,dorsomedial hypothalamus,E
day4,33,DMH,DMH,dorsomedial hypothalamus,I
day4,34,DMH,DMH,dorsomedial hypothalamus,I
day4,35,DMH,DMH,dorsomedial hypothalamus,E
day4,36,PH,PH,posterior hypothalamus,E
day4,37,PH,PH,posterior hypothalamus,E
day4,38,PH,PH,posterior hypothalamus,E
day4,39,PH,PH,posterior hypothalamus,E
day4,40,DMH,DMH,dorsomedial hypothalamus,E
day4,41,DMH,DMH,dorsomedial hypothalamus,I
day4,42,DMH,DMH,dorsomedial hypothalamus,I
day4,43,DMH,DMH,dorsomedial hypothalamus,I
day4,44,DMH,DMH,dorsomedial hypothalamus,I
day4,45,DMH,DMH,dorsomedial hypothalamus,E
day4,46,DMH,DMH,dorsomedial hypothalamus,E
day4,47,DMH,DMH,dorsomedial hypothalamus,I
day4,48,DMH,DMH,dorsomedial hypothalamus,I
day4,49,DMH,DMH,dorsomedial hypothalamus,E
day4,50,DMH,DMH,dorsomedial hypothalamus,E
day4,51,PH,PH,posterior hypothalamus,E
day4,52,PH,PH,posterior hypothalamus,E
day4,53,PH,PH,posterior hypothalamus,E
day4,54,PH,PH,posterior hypothalamus,E
day4,55,PH,PH,posterior hypothalamus,I
day4,56,PH,PH,posterior hypothalamus,E
day4,57,PH,PH,posterior hypothalamus,E
day4,58,PH,PH,posterior hypothalamus,I
day4,59,PH,PH,posterior hypothalamus,I
day4,60,PH,PH,posterior hypothalamus,E
day4,61,PH,PH,posterior hypothalamus,E
day5,1,DMH,DMH,dorsomedial hypothalamus,E
day5,2,PH,PH,posterior hypothalamus,E
day5,3,PH,PH,posterior hypothalamus,E
day5,4,PH,PH,posterior hypothalamus,I
day5,5,PH,PH,posterior hypothalamus,I
day5,6,PH,PH,posterior hypothalamus,I
day5,7,PH,PH,posterior hypothalamus,I
day5,8,PH,PH,posterior hypothalamus,E
day5,9,PH,PH,posterior hypothalamus,I
day5,10,PH,PH,posterior hypothalamus,E
day5,11,PH,PH,posterior hypothalamus,I
day5,12,PH,PH,posterior hypothalamus,I
day5,13,PH,PH,posterior hypothalamus,I
day5,14,PH,PH,posterior hypothalamus,E
day5,15,PH,PH,posterior hypothalamus,I
day5,16,PH,PH,posterior hypothalamus,I
day5,17,PH,PH,posterior hypothalamus,I
day5,18,PH,PH,posterior hypothalamus,I
day5,19,MC,Mammillary Complex,mammillary complex,I
day5,20,MC,Mammillary Complex,mammillary complex,I
day5,21,MC,Mammillary Complex,mammillary complex,E
day5,22,MC,Mammillary Complex,mammillary complex,E
day5,23,MC,Mammillary Complex,mammillary complex,E
day5,24,MC,Mammillary Complex,mammillary complex,E
day5,25,MC,Mammillary Complex,mammillary complex,E
day5,26,MC,Mammillary Complex,mammillary complex,E
day5,27,MC,Mammillary Complex,mammillary complex,E
day5,28,MC,Mammillary Complex,mammillary complex,I
day5,29,MC,Mammillary Complex,mammillary complex,I
day5,30,MC,Mammillary Complex,mammillary complex,I
day5,31,MC,Mammillary Complex,mammillary complex,I
day5,32,PVH,PVH,paraventricular hypothalamus,E
day5,33,PVH,PVH,paraventricular hypothalamus,E
day5,34,PVH,PVH,paraventricular hypothalamus,E
day5,35,PVH,PVH,paraventricular hypothalamus,E
day5,36,PVH,PVH,paraventricular hypothalamus,E
day5,37,PVH,PVH,paraventricular hypothalamus,E
day5,38,PVH,PVH,paraventricular hypothalamus,E
day5,39,PVH,PVH,paraventricular hypothalamus,E
day5,40,PVH,PVH,paraventricular hypothalamus,E
day5,41,PVH,PVH,paraventricular hypothalamus,I
day5,42,PVH,PVH,paraventricular hypothalamus,I
day5,43,PVH,PVH,paraventricular hypothalamus,E
day5,44,PVH,PVH,paraventricular hypothalamus,E
day5,45,PVH,PVH,paraventricular hypothalamus,E
day5,46,PVH,PVH,paraventricular hypothalamus,E
day5,47,PVH,PVH,paraventricular hypothalamus,E
day5,48,PVH,PVH,paraventricular hypothalamus,E
day5,49,PVH,PVH,paraventricular hypothalamus,I
day5,50,PVH,PVH,paraventricular hypothalamus,E
day5,51,MC,Mammillary Complex,mammillary complex,I
day5,52,MC,Mammillary Complex,mammillary complex,I
day5,53,MC,Mammillary Complex,mammillary complex,I
day5,54,MC,Mammillary Complex,mammillary complex,E
day5,55,MC,Mammillary Complex,mammillary complex,E
day5,56,MC,Mammillary Complex,mammillary complex,E
day5,57,MC,Mammillary Complex,mammillary complex,E
day5,58,MC,Mammillary Complex,mammillary complex,E
day5,59,MC,Mammillary Complex,mammillary complex,I
day5,60,MC,Mammillary Complex,mammillary complex,E
day5,61,MC,Mammillary Complex,mammillary complex,E
day5,62,MC,Mammillary Complex,mammillary complex,I
day5,63,MC,Mammillary Complex,mammillary complex,E
day5,64,PH,PH,posterior hypothalamus,I
day5,65,PH,PH,posterior hypothalamus,E
day5,66,PH,PH,posterior hypothalamus,E
day5,67,PH,PH,posterior hypothalamus,E
day5,68,PH,PH,posterior hypothalamus,I
day5,69,PH,PH,posterior hypothalamus,I
day5,70,PH,PH,posterior hypothalamus,I
day5,71,PH,PH,posterior hypothalamus,I
day6,1,VMH,Ventromedial HT,ventromedial hypothalamus,I
day6,2,VMH,Ventromedial HT,ventromedial hypothalamus,I
day6,3,VMH,Ventromedial HT,ventromedial hypothalamus,I
day6,4,VMH,Ventromedial HT,ventromedial hypothalamus,I
day6,5,MC,Mammillary Complex,mammillary complex,E
day6,6,DMH,DMH,dorsomedial hypothalamus,E
day6,7,DMH,DMH,dorsomedial hypothalamus,E
day6,8,DMH,DMH,dorsomedial hypothalamus,I
day6,9,DMH,DMH,dorsomedial hypothalamus,E
day6,10,DMH,DMH,dorsomedial hypothalamus,E
day6,11,PH,PH,posterior hypothalamus,E
day6,12,PH,PH,posterior hypothalamus,I
day6,13,PH,PH,posterior hypothalamus,E
day6,14,PH,PH,posterior hypothalamus,I
day6,15,PH,PH,posterior hypothalamus,E
day6,16,PH,PH,posterior hypothalamus,I
day6,17,PH,PH,posterior hypothalamus,E
day6,18,DMH,DMH,dorsomedial hypothalamus,E
day6,19,DMH,DMH,dorsomedial hypothalamus,I
day6,20,DMH,DMH,dorsomedial hypothalamus,E
day6,21,PH,PH,posterior hypothalamus,E
day6,22,PH,PH,posterior hypothalamus,E
day6,23,PH,PH,posterior hypothalamus,E
day6,24,PH,PH,posterior hypothalamus,E
day6,25,PH,PH,posterior hypothalamus,E
day6,26,DMH,DMH,dorsomedial hypothalamus,I
day6,27,DMH,DMH,dorsomedial hypothalamus,I
day6,28,DMH,DMH,dorsomedial hypothalamus,E
day6,29,DMH,DMH,dorsomedial hypothalamus,I
day6,30,DMH,DMH,dorsomedial hypothalamus,E
day6,31,DMH,DMH,dorsomedial hypothalamus,I
day6,32,DMH,DMH,dorsomedial hypothalamus,I
day6,33,DMH,DMH,dorsomedial hypothalamus,E
day6,34,DMH,DMH,dorsomedial hypothalamus,E
day6,35,DMH,DMH,dorsomedial hypothalamus,I
day6,36,DMH,DMH,dorsomedial hypothalamus,E
day6,37,MC,Mammillary Complex,mammillary complex,E
day6,38,MC,Mammillary Complex,mammillary complex,I
day6,39,MC,Mammillary Complex,mammillary complex,E
day6,40,MC,Mammillary Complex,mammillary complex,I
day6,41,MC,Mammillary Complex,mammillary complex,I
day6,42,MC,Mammillary Complex,mammillary complex,E
day6,43,MC,Mammillary Complex,mammillary complex,E
day6,44,MC,Mammillary Complex,mammillary complex,E
day6,45,MC,Mammillary Complex,mammillary complex,I
day6,46,MC,Mammillary Complex,mammillary complex,E
day6,47,MC,Mammillary Complex,mammillary complex,I
day6,48,MC,Mammillary Complex,mammillary complex,I
day6,49,MC,Mammillary Complex,mammillary complex,I
day6,50,MC,Mammillary Complex,mammillary complex,I
day6,51,PH,PH,posterior hypothalamus,I
day6,52,PH,PH,posterior hypothalamus,I
day6,53,PH,PH,posterior hypothalamus,E
day6,54,PH,PH,posterior hypothalamus,I
day6,55,PH,PH,posterior hypothalamus,E
day6,56,PH,PH,posterior hypothalamus,E
