old_id,new_id,day_night,neurons
171019,day1,D,
171207,night1,N,
171208,night2,N,
171213,night3,N,
180110,night4,N,
180111,night5,N,
180131,day2,D,
180221,night6,N,
180228,night7,N,
180302,day3,D,
180419,day4,D,
180420,day5,D,
180423,day6,D,
