animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,28,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.15662161,4.228784964,6300,5229,5857,Nucleus reuniens (Re),unclassified,False,1.6
day1,29,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.15662161,4.228784964,6300,5229,5857,Nucleus reuniens (Re),unclassified,False,1.6
day1,30,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.15662161,4.228784964,6300,5229,5857,Nucleus reuniens (Re),unclassified,False,1.6
day1,31,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.22052414,3.866375711,6300,4866,5921,Nucleus reuniens (Re),unclassified,False,1.6
day1,32,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.184578967,4.070230915,6300,5070,5885,Nucleus reuniens (Re),unclassified,False,1.6
day1,33,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.22052414,3.866375711,6300,4866,5921,Nucleus reuniens (Re),unclassified,False,1.6
day1,34,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.184578967,4.070230915,6300,5070,5885,Nucleus reuniens (Re),unclassified,False,1.6
day1,35,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.192566783,4.024929759,6300,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,36,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.200554599,3.979628602,6300,4980,5901,Nucleus reuniens (Re),unclassified,False,1.6
day1,37,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.208542415,3.934327446,6300,4934,5909,Nucleus reuniens (Re),unclassified,False,1.6
day1,38,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.152627702,4.251435542,6300,5251,5853,Nucleus reuniens (Re),unclassified,False,1.6
day1,39,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.152627702,4.251435542,6300,5251,5853,Nucleus reuniens (Re),unclassified,False,1.6
day1,40,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.160615518,4.206134385,6300,5206,5861,Nucleus reuniens (Re),unclassified,False,1.6
day1,41,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.160615518,4.206134385,6300,5206,5861,Nucleus reuniens (Re),unclassified,False,1.6
day1,42,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.160615518,4.206134385,6300,5206,5861,Nucleus reuniens (Re),unclassified,False,1.6
day1,43,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.292414485,3.458665301,6300,4459,5992,IAM thalamic nucleus,unclassified,False,1.6
day1,44,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.292414485,3.458665301,6300,4459,5992,IAM thalamic nucleus,unclassified,False,1.6
day1,45,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.168603335,4.160833229,6300,5161,5869,Nucleus reuniens (Re),unclassified,False,1.6
day1,46,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.292414485,3.458665301,6300,4459,5992,IAM thalamic nucleus,unclassified,False,1.6
day1,47,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.176591151,4.115532072,6300,5116,5877,Nucleus reuniens (Re),unclassified,False,1.6
day1,48,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.300402301,3.413364144,6300,4413,6000,IAD thalamic nucleus,unclassified,False,1.6
day1,49,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.300402301,3.413364144,6300,4413,6000,IAD thalamic nucleus,unclassified,False,1.6
day1,50,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.176591151,4.115532072,6300,5116,5877,Nucleus reuniens (Re),unclassified,False,1.6
day1,51,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.300402301,3.413364144,6300,4413,6000,IAD thalamic nucleus,unclassified,False,1.6
day1,52,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.300402301,3.413364144,6300,4413,6000,IAD thalamic nucleus,unclassified,False,1.6
day1,53,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.308390118,3.368062988,6300,4368,6008,IAD thalamic nucleus,unclassified,False,1.6
day1,54,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.308390118,3.368062988,6300,4368,6008,IAD thalamic nucleus,unclassified,False,1.6
day1,55,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.144639886,4.296736699,6300,5297,5845,Nucleus reuniens (Re),unclassified,False,1.6
day1,56,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.144639886,4.296736699,6300,5297,5845,Nucleus reuniens (Re),unclassified,False,1.6
day1,57,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.144639886,4.296736699,6300,5297,5845,Nucleus reuniens (Re),unclassified,False,1.6
day1,58,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.196560691,4.002279181,6300,5002,5897,Nucleus reuniens (Re),unclassified,False,1.6
