animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
day1,125,0.15265151515151487,0.35,True,3.0,I
day1,126,0.29097222222222213,0.7,True,0.0,E
day2,1,0.4758333333333333,0.75,True,2.0,E
day2,2,0.5041666666666668,0.9,True,2.0,E
day2,3,0.29404761904761895,0.95,True,2.0,E
day2,4,0.05,0.05,True,1.0,I
day2,5,0.14407407407407397,0.25,True,1.0,I
day2,6,0.05,0.3,True,1.0,I
day2,7,0.3458333333333332,0.6,True,0.0,E
day2,8,0.15250000000000022,0.25,True,1.0,I
day2,9,0.2551282051282051,0.5,True,0.0,E
day2,10,0.27062937062937065,0.5,True,0.0,E
day2,11,0.33571428571428574,0.55,True,0.0,E
day2,12,0.16543040293040293,0.3,True,1.0,I
day2,13,0.3,0.55,True,0.0,E
day2,14,,,False,,unclassified
day2,15,0.55,0.55,True,2.0,E
day2,16,0.2703225806451613,0.65,True,0.0,E
day2,17,0.2,0.3,True,1.0,I
day2,18,,,False,,unclassified
day2,19,0.24020467836257317,0.4,True,0.0,E
day2,20,0.2,0.25,True,1.0,I
day2,21,0.2,0.25,True,1.0,I
day2,22,0.299715909090909,0.45,True,0.0,E
day2,23,0.2727272727272727,0.5,True,0.0,E
day2,24,0.26255060728744933,0.45,True,0.0,E
day2,25,0.19455128205128214,0.4,True,1.0,I
day2,26,0.05,0.1,True,1.0,I
day2,27,0.15,0.15,True,1.0,I
day2,28,0.18812500000000015,0.3,True,1.0,I
day2,29,0.05,0.55,True,1.0,I
day2,30,0.3375,0.45,True,0.0,E
day2,31,0.2625,0.45,True,0.0,E
day3,1,0.23166666666666663,0.45,True,0.0,I
day3,2,0.32361111111111107,0.7,True,1.0,E
day3,3,0.10077651515151516,0.2,True,0.0,I
day3,4,0.28143274853801153,0.85,True,1.0,E
day3,5,0.2875,0.9,True,1.0,E
day3,6,0.39250000000000007,0.8,True,1.0,E
day3,7,0.2797619047619047,0.7,True,1.0,E
day3,8,0.20492788461538466,0.3,True,0.0,I
day3,9,0.26875,0.4,True,0.0,I
day3,10,0.31708333333333344,0.8,True,1.0,E
day3,11,0.25500000000000006,0.45,True,0.0,I
day3,12,0.35,0.65,True,1.0,E
day3,13,0.35,0.65,True,1.0,E
day3,14,0.21437500000000007,0.45,True,0.0,I
day3,15,0.2071428571428573,0.45,True,0.0,I
day3,16,0.22187500000000002,0.45,True,0.0,I
day3,17,0.17356459330143537,0.3,True,0.0,I
day3,18,0.2294642857142858,0.65,True,0.0,I
day3,19,0.14565756823821338,0.35,True,0.0,I
day3,20,0.19672364672364678,0.5,True,0.0,I
day3,21,0.4114583333333332,0.7,True,1.0,E
day3,22,0.3375,1.05,True,1.0,E
day3,23,0.2800000000000001,0.6,True,1.0,E
day3,24,0.2600000000000001,0.8,True,1.0,E
day3,25,0.2294871794871792,0.5,True,0.0,I
day3,26,0.1951136363636362,0.45,True,0.0,I
day3,27,0.22905982905982894,0.45,True,0.0,I
day3,28,0.19494047619047628,0.45,True,0.0,I
day3,29,0.17988721804511273,0.3,True,0.0,I
day3,30,0.25694444444444464,0.45,True,0.0,I
day3,31,0.1404040404040405,1.2,True,1.0,E
day3,32,0.24464285714285727,0.7,True,1.0,E
day3,33,0.14624999999999988,0.2,True,0.0,I
day3,34,0.1762499999999999,0.3,True,0.0,I
day3,35,0.11809523809523839,0.25,True,0.0,I
day3,36,0.17142857142857154,0.35,True,0.0,I
day3,37,0.22945075757575778,0.4,True,0.0,I
day3,38,0.15833333333333321,0.6,True,0.0,I
day3,39,0.21999999999999992,1.0,True,1.0,E
day3,40,0.13145299145299136,0.2,True,0.0,I
day3,41,0.14646464646464671,0.25,True,0.0,I
day3,42,0.20680803571428574,0.5,True,0.0,I
day3,43,0.2916666666666668,0.9,True,1.0,E
day3,44,0.4267857142857142,0.85,True,1.0,E
day3,45,0.309375,0.95,True,1.0,E
day3,46,0.32759615384615404,0.75,True,1.0,E
day3,47,0.275,0.45,True,0.0,I
day4,1,0.14624999999999988,0.45,True,4.0,I
day4,2,0.17200738125802317,0.6,True,0.0,E
day4,3,0.10126092384519332,0.2,True,4.0,I
day4,4,0.16789772727272734,0.25,True,4.0,I
day4,5,0.20520833333333321,0.4,True,0.0,E
day4,6,0.1260416666666668,0.25,True,4.0,I
day4,7,0.11780063291139235,0.2,True,4.0,I
day4,8,0.21150568181818166,0.45,True,0.0,E
day4,9,0.1333333333333332,0.2,True,4.0,I
day4,10,0.165625,0.3,True,4.0,I
day4,11,0.1848297213622292,0.25,True,4.0,I
day4,12,0.20555555555555538,0.4,True,0.0,E
day4,13,,,False,,unclassified
day4,14,,,False,,unclassified
day4,15,0.11468207610146877,0.35,True,4.0,I
day4,16,0.20247678018575854,0.3,True,4.0,I
day4,17,0.0876096491228072,0.35,True,4.0,I
day4,18,0.4619791666666668,1.15,True,1.0,E
day4,19,0.24027777777777748,0.35,True,0.0,E
day4,20,0.15121527777777788,0.45,True,4.0,I
day4,21,0.25625000000000003,0.6,True,0.0,E
