animal,units,AP,ML,DV,region_paxinos,n_neurons,macro_region,further_agglomerate
180221,"5,6,7,8,9,10,11,13,14,15,16, 27, 28, 29, 30, 37, 38",1.42,0.2,5.05,dorsomedial nucleus of hypothalamus,17,dorsomedial hypothalamus,
180221,"19, 20, 34, 51, 52, 53, 54",1.42,0.25,4.8,parvicellular part of ventral posteromedial nucleus,7,paraventricular hypothalamus,
180221,"23, 24, 25",1.42,0.17,5.16,"ventromedial hypothalamic nucleus, dorsomedial part",3,ventromedial hypothalamus,
180228,"1,4,5,6, 24, 25, 74",1.98,0.6,4.33,ventromedial thalamic nucleus,7,ventromedial thalamus,
180228,"2, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23,26, 40, 42, 62, 63, 64",1.98,0.54,4.78,posterior hypothalamic area,18,posterior hypothalamus,
180228,"3,7,8,10, 19, 20, 27, 28, 29, 30, 31, 54, 56, 57, 58, 59, 60, 61, 65, 66,67,68,69, 73, 75, 76, 77,78,79",1.98,0.42,5.5,dorsomedial nucleus of hypothalamus,29,dorsomedial hypothalamus,
180228,9,1.98,0.38,5.7,"ventromedial hypothalamic nucleus, dorsomedial part",1,ventromedial hypothalamus,
180228,"32, 33, 34, 35, 36, 37, 38,39, 41",2.18,0.38,5.6,arcuate nucleus of hypothalamus,9,arcuate hypothalamus,
180228,"43,44,45",1.58,0.55,4.76,subincertal nucleus,3,zona incerta,
180228,"46, 47, 48, 49, 50",1.58,0.44,5.35,ventromedial hypothalamic nucleus,5,ventromedial hypothalamus,
180228,"51,52,53,55,70,71, 72",1.58,0.61,4.40,zona incerta,7,zona incerta,
180302,"1,11,12",2.46,0.36,4.4,posterior hypothalamic area,3,posterior hypothalamus,
180302,"2,3,4,5,6, 13, 14, 15,30,36",2.46,0.24,5.08,dorsal tuberomammillary nucleus,10,tuberomammillary nucleus,mammillary complex
180302,"7, 8,16, 17, 23, 31, 37, 38,39,40, 47",2.46,0.29,4.77,posterior hypothalamic area,11,posterior hypothalamus,
180302,"9, 10, 41,42",2.46,0.16,5.5,premammillary nucleus dorsal,4,premammillary nucleus,mammillary complex
180302,"18, 19, 20, 21",2.66,0.3,4.7,supramammillary nucleus,4,supramammillary nucleus,mammillary complex
180302,"22, 24, 25, 29",2.66,0.17,5.47,medial magnocellular hypothalamic area,4,paraventricular hypothalamus,
180302,"26, 27, 28, 43,44,45,46",2.66,0.14,5.62,arcuate nucleus of hypothalamus,7,arcuate hypothalamus,
180302,"32,33,34,35",2.06,0.27,4.88,"dorsomedial hypothalamic nucleus, compact part",4,dorsomedial hypothalamus,
180419,"1,2,11, 12",1.58,0.34,5.46,"ventromedial hypothalamic nucleus, dorsomedial part",4,ventromedial hypothalamus,
180419,"3, 40, 41, 42, 43, 44,45,46,47,48,49,50",1.58,0.41,5.0,dorsomedial nucleus of hypothalamus,12,dorsomedial hypothalamus,
180419,"4,5,6,7,8",1.58,0.48,4.65,submedius thalamic nucleus,5,ventromedial thalamus,
180419,"9, 10",1.58,0.52,4.37,ventromedial thalamic nucleus,2,ventromedial hypothalamus,
180419,"13,14,15,16,17,18,23",1.78,0.32,5.53,"dorsomedial hypothalamic nucleus, ventral part",7,dorsomedial hypothalamus,
180419,"19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35",1.78,0.38,5.12,"dorsomedial hypothalamic nucleus, dorsal part",16,dorsomedial hypothalamus,
180419,"36,37,38,39,51,52,53,54,55,56,57,58,59,60,61",1.98,0.46,4.76,posterior hypothalamic area,15,posterior hypothalamus,
180420,1,2.06,0.13,5.38,"dorsomedial hypothalamic nucleus, compact part",1,dorsomedial hypothalamus,
180420,"2, 3, 4, 5, 6,7,8,9,10,11,12,13,14,15,16,17,18,64,65,66,67,68,69,70,71",2.06,0.19,5.01,posterior hypothalamic area,25,posterior hypothalamus,
180420,"19, 20, 21, 22, 23, 24, 25,26,27,28,29,30,31",2.46,0.17,5.1,premammillary nucleus dorsal,13,premammillary nucleus,mammillary complex
180420,"32, 33, 34, 35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",2.66,0.15,5.27,medial magnocellular hypothalamic area,19,paraventricular hypothalamus,
180420,"51,52,53,54,55,56,57,58,59,60,61,62,63",2.66,0.2,4.9,"supramammillary nucleus, medial part",13,supramammillary nucleus,mammillary complex
180423,"1,2,3,4",1.82,0.40,5.65,ventromedial hypothalamic nucleus,4,ventromedial hypothalamus,
180423,5,2.42,0.57,4.75,lateral hypothalamic area,1,submammillothalamic nucleus,mammillary complex
180423,"6,7,8,9,10,18,19,20,26,27,28,29,30,31,32,33,34,35,36",1.82,0.46,5.36,dorsomedial nucleus of hypothalamus,19,dorsomedial hypothalamus,
180423,"11, 12,13,14,15,16,17,21,22,23,24,25,51,52,53,54,55,56",1.82,0.57,4.7,posterior hypothalamic area,18,posterior hypothalamus,
180423,37,2.42,0.43,5.5,"premammillary nucleus, ventral part",1,premammillary nucleus,mammillary complex
180423,"38,39,40,41,42,43,44,45,46,47,48,49,50",2.42,0.47,5.3,"premammillary nucleus, dorsal part",13,premammillary nucleus,mammillary complex
