animal,neuron_id,region6,region9,region_raw
day1,1,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,2,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,3,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,4,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,5,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,6,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,7,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,8,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,9,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,10,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,11,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,12,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,13,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,14,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,15,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,16,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,17,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,18,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,19,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,20,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,21,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,22,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,23,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,24,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,25,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,26,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,27,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,28,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,29,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,30,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,31,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,32,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,33,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,34,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,35,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,36,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,37,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,38,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,39,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,40,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,41,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,42,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,43,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,44,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,45,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,46,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,47,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,48,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,49,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,50,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,51,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,52,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,53,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,54,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,55,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,56,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,57,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,58,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,59,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,60,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,61,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,62,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,63,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,64,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,65,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,66,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,67,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,68,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,69,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,70,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,71,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,72,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,73,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,74,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,75,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,76,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,77,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,78,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,79,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,80,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,81,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,82,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,83,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,84,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,85,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,86,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,87,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,88,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,89,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,90,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,91,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,92,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,93,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,94,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,95,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,96,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,97,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,98,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,99,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,100,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,101,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,102,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,103,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,104,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,105,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,106,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,107,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,108,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,109,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,110,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,111,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,112,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,113,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,114,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,115,PVH,PVH,paraventricular hypothalamus
day1,116,PVH,PVH,paraventricular hypothalamus
day1,117,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,118,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,119,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,120,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,121,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,122,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,123,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,124,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,125,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,126,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,1,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,2,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,3,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,4,PVH,PVH,paraventricular hypothalamus
night1,5,PVH,PVH,paraventricular hypothalamus
night1,6,PVH,PVH,paraventricular hypothalamus
night1,7,PVH,PVH,paraventricular hypothalamus
night1,8,AH,Anterior HT,anterior hypothalamus
night1,9,AH,Anterior HT,anterior hypothalamus
night1,10,AH,Anterior HT,anterior hypothalamus
night1,11,PVH,PVH,paraventricular hypothalamus
night1,12,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,13,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,14,PVH,PVH,paraventricular hypothalamus
night1,15,PVH,PVH,paraventricular hypothalamus
night1,16,PVH,PVH,paraventricular hypothalamus
night1,17,AH,Anterior HT,anterior hypothalamus
night1,18,VM-thalamus,VM-thalamus,ventromedial thalamus
night1,19,DMH,DMH,dorsomedial hypothalamus
night1,20,DMH,DMH,dorsomedial hypothalamus
