"estimator","term","estimate","std_error","t_value"
"glmcc","(Intercept)",0.0755990786812559,0.329342088537375,0.229545755955442
"glmcc","conditionlightON",0.825768726447173,0.265900033743722,3.10556081855582
"glmcc","region_pairPVH-AH",-0.142857142857149,0.153517456059458,-0.930559602302294
"glmcc","region_pairVM-thalamus-AH",-0.126984126984133,0.153517456059458,-0.827164090935376
"glmcc","region_pairVMH-AH",-0.18321286286224,0.218811181959864,-0.837310329486939
"glmcc","region_pairDMH-ARH",-0.323070337031618,0.314645659058221,-1.02677512856403
"glmcc","region_pairMC-ARH",-0.358784622745904,0.314645659058221,-1.14028149576192
"glmcc","region_pairPH-ARH",-0.37526813922942,0.314645659058221,-1.19266904985326
"glmcc","region_pairPVH-ARH",-0.358784622745904,0.314645659058221,-1.14028149576192
"glmcc","region_pairVM-thalamus-ARH",-0.23962146542687,0.227958275865948,-1.05116370316724
"glmcc","region_pairVMH-ARH",-0.252848978654383,0.227958275865948,-1.10918973085703
"glmcc","region_pairZI-ARH",-0.271367497172901,0.227958275865948,-1.19042616962273
"glmcc","region_pairAH-DMH",-0.166666666666673,0.153517456059458,-1.08565286935267
"glmcc","region_pairARH-DMH",-0.0373560513173331,0.314645659058221,-0.11872419098088
"glmcc","region_pairMC-DMH",-0.0542323970966484,0.270957308776362,-0.200151076719653
"glmcc","region_pairPH-DMH",0.00606173726391348,0.380911288882276,0.0159137768841157
"glmcc","region_pairPVH-DMH",-0.0393928081906306,0.380911288882276,-0.103417276779122
"glmcc","region_pairVM-thalamus-DMH",0.0161627473649255,0.380911288882277,0.0424317888092855
"glmcc","region_pairVMH-DMH",-0.0952658502704776,0.324771161195654,-0.293332234055985
"glmcc","region_pairZI-DMH",0.0937666024439568,0.227958275865948,0.411332302316134
"glmcc","region_pairARH-MC",-0.239737003698285,0.314645659058221,-0.76192693843561
"glmcc","region_pairDMH-MC",-0.124707730729877,0.270957308776362,-0.460248632129743
"glmcc","region_pairPH-MC",-0.162349056265939,0.270957308776362,-0.599168396671432
"glmcc","region_pairPVH-MC",-0.10810614984319,0.283245443102683,-0.381669511286714
"glmcc","region_pairVMH-MC",-0.199161454806445,0.31338418534092,-0.635518523660611
"glmcc","region_pairARH-PH",-0.122520886482168,0.314645659058221,-0.38939322045278
"glmcc","region_pairDMH-PH",0.069698100900278,0.380911288882276,0.182977252012656
"glmcc","region_pairMC-PH",0.00310203585181965,0.270957308776362,0.0114484302557786
"glmcc","region_pairPVH-PH",-0.0393928081906308,0.380911288882276,-0.103417276779123
"glmcc","region_pairVM-thalamus-PH",0.0717183029204796,0.380911288882276,0.188280854397688
"glmcc","region_pairVMH-PH",-0.0508221184222271,0.275959470975612,-0.184165153826949
"glmcc","region_pairZI-PH",0.0619658361604317,0.227958275865948,0.271829728159863
"glmcc","region_pairAH-PVH",-0.222222222222229,0.153517456059458,-1.44753715913688
"glmcc","region_pairARH-PVH",-0.823070337031619,0.314645659058221,-2.61586426933454
"glmcc","region_pairDMH-PVH",-0.03939280819063,0.380911288882276,-0.103417276779121
"glmcc","region_pairMC-PVH",-0.74899121507036,0.283245443102683,-2.64431867593659
"glmcc","region_pairPH-PVH",-0.0393928081906306,0.380911288882276,-0.103417276779122
"glmcc","region_pairVM-thalamus-PVH",0.0170547695236358,0.357269186890945,0.0477364691650325
"glmcc","region_pairVMH-PVH",-0.190715982632306,0.156568521966277,-1.21809914430555
"glmcc","region_pairAH-VM-thalamus",-0.222222222222229,0.153517456059458,-1.44753715913688
"glmcc","region_pairARH-VM-thalamus",-0.0173992432046471,0.227958275865948,-0.0763264379788466
"glmcc","region_pairDMH-VM-thalamus",0.00505163625381402,0.380911288882279,0.0132619756916032
"glmcc","region_pairPH-VM-thalamus",0.10202133322351,0.380911288882276,0.267834890173183
"glmcc","region_pairPVH-VM-thalamus",-0.0434291014441135,0.303792458644479,-0.142956482981487
"glmcc","region_pairVMH-VM-thalamus",-0.142256366117113,0.335994400253691,-0.423389098180514
"glmcc","region_pairZI-VM-thalamus",0.115934090128686,0.227958275865948,0.508575921134189
"glmcc","region_pairAH-VMH",-0.18321286286224,0.218811181959864,-0.837310329486938
"glmcc","region_pairARH-VMH",-0.66025638606179,0.227958275865948,-2.89639138370242
"glmcc","region_pairDMH-VMH",0.160276911298759,0.324771161195654,0.493507215076287
"glmcc","region_pairMC-VMH",0.134171878526888,0.31338418534092,0.428138638779513
"glmcc","region_pairPH-VMH",0.121400103799995,0.275959470975612,0.439920048298411
"glmcc","region_pairPVH-VMH",-0.174842966759291,0.156568521966277,-1.11671851125318
"glmcc","region_pairVM-thalamus-VMH",-0.0967124552954456,0.156568521966277,-0.617700506339815
"glmcc","region_pairZI-VMH",-0.61025638606179,0.227958275865948,-2.67705299903503
"glmcc","region_pairARH-ZI",-0.293589719395124,0.227958275865948,-1.28790989614157
"glmcc","region_pairDMH-ZI",-0.295888569969836,0.227958275865948,-1.29799441957455
"glmcc","region_pairPH-ZI",-0.276923052728457,0.227958275865948,-1.21479710125244
"glmcc","region_pairVM-thalamus-ZI",-0.312637338442743,0.227958275865948,-1.37146737601486
"glmcc","region_pairVMH-ZI",-0.326923052728457,0.227958275865948,-1.43413548591983
"glmcc","day_nightN",0.149775889067452,0.311709475420113,0.480498351439552
"glmcc","conditionlightON:region_pairPVH-AH",0.18333333333335,0.217106468420301,0.844439756527343
"glmcc","conditionlightON:region_pairVM-thalamus-AH",0.138888888888906,0.217106468420301,0.639727088278308
"glmcc","conditionlightON:region_pairVMH-AH",0.111678004535164,0.307034912118915,0.363730638201532
"glmcc","conditionlightON:region_pairAH-DMH",-0.0654761904761738,0.217106468420301,-0.301585627331089
"glmcc","conditionlightON:region_pairPH-DMH",-0.0263659491456072,0.339626201322077,-0.0776322587685265
"glmcc","conditionlightON:region_pairPVH-DMH",0.10948104725156,0.346048674952904,0.316374704415383
"glmcc","conditionlightON:region_pairVM-thalamus-DMH",-0.0644690326869601,0.353733216579412,-0.182253262247672
"glmcc","conditionlightON:region_pairVMH-DMH",-0.0644430684859183,0.231405971864017,-0.278484898063856
"glmcc","conditionlightON:region_pairDMH-PH",-0.109959782213125,0.339626201322077,-0.323767076229927
"glmcc","conditionlightON:region_pairPVH-PH",-0.0217957899463294,0.346048674952904,-0.0629847519262883
"glmcc","conditionlightON:region_pairVM-thalamus-PH",-0.299404097622023,0.353733216579411,-0.846412164843469
"glmcc","conditionlightON:region_pairAH-PVH",0.213492063492081,0.217106468420301,0.98335192426776
"glmcc","conditionlightON:region_pairDMH-PVH",-0.613545268537914,0.346048674952904,-1.77300279685052
"glmcc","conditionlightON:region_pairPH-PVH",-0.682669302398789,0.346048674952904,-1.97275514056425
"glmcc","conditionlightON:region_pairVM-thalamus-PVH",-0.387148654762585,0.325659702630466,-1.18881351188204
"glmcc","conditionlightON:region_pairVMH-PVH",-0.0277777777777611,0.217106468420301,-0.127945417655569
"glmcc","conditionlightON:region_pairAH-VM-thalamus",0.142551892551909,0.217106468420301,0.656599011485646
"glmcc","conditionlightON:region_pairDMH-VM-thalamus",0.00505477683685011,0.353733216579414,0.0142897997698085
"glmcc","conditionlightON:region_pairPH-VM-thalamus",-0.0767778349957604,0.353733216579411,-0.217050114032828
"glmcc","conditionlightON:region_pairPVH-VM-thalamus",-0.0385823465188425,0.188019716977909,-0.205203726178227
"glmcc","conditionlightON:region_pairVMH-VM-thalamus",0.0425513618568813,0.21090287207588,0.201758095743579
"glmcc","conditionlightON:region_pairAH-VMH",0.00963718820863411,0.307034912118915,0.0313879230935849
"glmcc","conditionlightON:region_pairDMH-VMH",-0.0478053789273358,0.231405971864017,-0.206586625843123
"glmcc","conditionlightON:region_pairPVH-VMH",0.265873015873033,0.217106468420301,1.22462042613269
"glmcc","conditionlightON:region_pairVM-thalamus-VMH",-0.00299254896480275,0.210902872075879,-0.014189228128321
"glmcc","conditionlightON:day_nightN",-0.202752853431317,0.217106468420314,-0.933886746473127
"glmcc","region_pairDMH-ARH:day_nightN",0.109174104226533,0.352337251929709,0.30985683071716
"glmcc","region_pairPH-ARH:day_nightN",0.190320395142938,0.352337251929709,0.540165407150609
"glmcc","region_pairARH-DMH:day_nightN",0.00353644686473803,0.352337251929709,0.010037107474073
"glmcc","region_pairPH-DMH:day_nightN",0.0669443775440416,0.303096505424721,0.220868193284625
"glmcc","region_pairPVH-DMH:day_nightN",-0.133698520386606,0.376574908727387,-0.355038313196258
"glmcc","region_pairVM-thalamus-DMH:day_nightN",-0.110800258517757,0.376574908727388,-0.294231654711674
"glmcc","region_pairVMH-DMH:day_nightN",0.0652732135989925,0.274425909067384,0.237853684518414
"glmcc","region_pairARH-PH:day_nightN",0.085721290543834,0.352337251929709,0.24329329378131
"glmcc","region_pairDMH-PH:day_nightN",0.100311808661018,0.303096505424721,0.330956665173206
"glmcc","region_pairVM-thalamus-PH:day_nightN",0.257905599115943,0.318167273444156,0.810597508424166
"glmcc","region_pairVMH-PH:day_nightN",0.112787954582659,0.318266049012986,0.354382614584369
"glmcc","region_pairDMH-PVH:day_nightN",-0.136849780890809,0.376574908727387,-0.363406530066712
"glmcc","region_pairVM-thalamus-PVH:day_nightN",-0.127659251453719,0.348218383305511,-0.366606869637081
"glmcc","region_pairDMH-VM-thalamus:day_nightN",-0.0517424046069612,0.376574908727389,-0.137402687772856
"glmcc","region_pairPH-VM-thalamus:day_nightN",0.116087417297761,0.318167273444156,0.364862847272496
"glmcc","region_pairPVH-VM-thalamus:day_nightN",-0.0309949824008066,0.272251398236924,-0.113846917229911
"glmcc","region_pairVMH-VM-thalamus:day_nightN",0.081140618640597,0.297285275335207,0.272938572383399
"glmcc","region_pairDMH-VMH:day_nightN",-0.298112685225147,0.274425909067384,-1.08631392071638
"glmcc","region_pairPH-VMH:day_nightN",-0.633508341713637,0.318266049012986,-1.99049928095783
"glmcc","conditionlightON:region_pairPVH-DMH:day_nightN",-0.206049674702523,0.337428189557296,-0.610647483166299
"glmcc","conditionlightON:region_pairVM-thalamus-DMH:day_nightN",-0.0633715632996718,0.343003633792089,-0.184754786994719
"glmcc","conditionlightON:region_pairDMH-PVH:day_nightN",0.794882803551936,0.337428189557296,2.35570953510084
"glmcc","conditionlightON:region_pairVM-thalamus-PVH:day_nightN",0.349656487905356,0.307034912118924,1.13881670814661
"glmcc","conditionlightON:region_pairDMH-VM-thalamus:day_nightN",0.00476298996165552,0.343003633792091,0.0138861209981891
