"metric","estimator","model_level","term","estimate","std_error","df","t_value","p_value"
"node_strength","glmcc_raw","interaction","(Intercept)",-23.6649159836895,65.8100959227341,221.88792317539,-0.359594005325169,0.719492762135244
"node_strength","glmcc_raw","interaction","conditionlightON",123.936457049428,104.493631794148,1308.80509513787,1.1860670829547,0.235811078877477
"node_strength","glmcc_raw","interaction","regionARH",18.3324327927611,78.3755000727182,1310.91093102086,0.233905146069269,0.815095140224997
"node_strength","glmcc_raw","interaction","regionDMH",-3.57977384639634,62.3667722686098,1308.9961572509,-0.057398735194736,0.954236330740799
"node_strength","glmcc_raw","interaction","regionMC",11.9000241456682,66.7727131631843,1303.06809690293,0.178216873059898,0.858580360441995
"node_strength","glmcc_raw","interaction","regionPH",8.61586238686084,63.9301544184041,1304.25905818724,0.134769929233591,0.892814575991489
"node_strength","glmcc_raw","interaction","regionPVH",9.98588093743397,62.8594659391305,1311.14073368403,0.158860416458258,0.873803312847096
"node_strength","glmcc_raw","interaction","regionVM-thalamus",-170.282166954204,60.6410263419569,1311.61224318163,-2.80803570167128,0.00505833794850094
"node_strength","glmcc_raw","interaction","regionVMH",-18.8975173108149,67.9761166086875,1310.23240651248,-0.278002308069476,0.781054448598653
"node_strength","glmcc_raw","interaction","regionZI",-36.9138895700078,87.1789608530144,1311.99848111372,-0.423426583763087,0.672053453605784
"node_strength","glmcc_raw","interaction","conditionlightON:regionARH",124.476946575572,124.513002573502,1306.82648652463,0.99971042383378,0.317635736058294
"node_strength","glmcc_raw","interaction","conditionlightON:regionDMH",140.961644466331,107.032896478701,1307.98708788371,1.31699364498074,0.188071435599475
"node_strength","glmcc_raw","interaction","conditionlightON:regionMC",97.2203946793853,110.282328411798,1308.1742970667,0.881559140793261,0.378177200504223
"node_strength","glmcc_raw","interaction","conditionlightON:regionPH",138.847753673344,107.912869474857,1308.42694954361,1.28666538429594,0.198438540568381
"node_strength","glmcc_raw","interaction","conditionlightON:regionPVH",85.4313242180889,108.341127470741,1307.744027777,0.788540106721345,0.430523766578499
"node_strength","glmcc_raw","interaction","conditionlightON:regionVM-thalamus",495.289338230862,105.652983145369,1307.72790361779,4.68788787108252,3.04917770116577e-06
"node_strength","glmcc_raw","interaction","conditionlightON:regionVMH",156.696985590182,116.651886000381,1304.0552151274,1.34328720231468,0.179412709160441
"node_strength","glmcc_raw","interaction","conditionlightON:regionZI",229.018170750572,135.108212350218,1306.00206567223,1.69507217042386,0.0903001082169027
"node_strength","glmcc_raw","interaction","ANOVA_condition",1265.73576067135,NA,1,NA,2.3075654267404e-194
"node_strength","glmcc_raw","interaction","ANOVA_region",0.218217896922507,NA,8,NA,0.987773288073913
"node_strength","glmcc_raw","interaction","ANOVA_condition:region",36.3673969471964,NA,8,NA,2.75936140767624e-52
"clustering_coefficient","glmcc_raw","interaction","(Intercept)",0.791399427574347,0.0479974960398945,127.850451428478,16.4883482029261,1.9219307066392e-33
"clustering_coefficient","glmcc_raw","interaction","conditionlightON",0.00914264519148964,0.0722609496922392,1306.42947977486,0.126522627095663,0.899337708030045
"clustering_coefficient","glmcc_raw","interaction","regionARH",-0.0536660975684229,0.0542702522837253,1311.8359791956,-0.988867663408973,0.322910246337158
"clustering_coefficient","glmcc_raw","interaction","regionDMH",0.0610731340441601,0.0431989815001686,1311.99439338988,1.41376328615344,0.157668644340493
"clustering_coefficient","glmcc_raw","interaction","regionMC",0.0942171012297254,0.0462776953827093,1311.10911959993,2.03590737288373,0.0419603384032152
"clustering_coefficient","glmcc_raw","interaction","regionPH",0.0774549307433852,0.0443034477724853,1311.35129590752,1.74828223620755,0.0806491704771429
"clustering_coefficient","glmcc_raw","interaction","regionPVH",0.138968571942908,0.0435240508295758,1311.7673240104,3.19291447588502,0.00144189815277858
"clustering_coefficient","glmcc_raw","interaction","regionVM-thalamus",0.0489650665171388,0.0419819321323191,1311.50316699434,1.16633666032354,0.243690400619649
"clustering_coefficient","glmcc_raw","interaction","regionVMH",0.00532745922491393,0.0470177503177106,1307.81138251549,0.113307403882895,0.909804237759905
"clustering_coefficient","glmcc_raw","interaction","regionZI",0.0245025157192019,0.0603358354723126,1310.65486924726,0.406102203232867,0.684733799356096
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionARH",0.0577361886444524,0.0860856176995973,1304.733797597,0.670683328845098,0.502540985463908
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionDMH",-0.0207705557545628,0.0740095343128622,1305.70324185765,-0.280647026729813,0.779025603372072
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionMC",-0.121031790078397,0.0762580882916341,1305.86855092454,-1.5871338082268,0.112724429858026
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionPH",-0.0600908575946442,0.0746219215980546,1306.09043852559,-0.805270841433421,0.42080997443345
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionPVH",-0.138368420788026,0.0749120594976398,1305.49542456877,-1.84707805012871,0.0649619862046537
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionVM-thalamus",-0.0303693829037005,0.0730532134350668,1305.48029054494,-0.415715907291255,0.677686221990907
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionVMH",0.0650650339470435,0.0806301412235718,1302.55030068504,0.806956715685649,0.41983873973053
"clustering_coefficient","glmcc_raw","interaction","conditionlightON:regionZI",0.0530747799986669,0.0934033554498946,1304.07088028064,0.568232048442183,0.569975239494358
"clustering_coefficient","glmcc_raw","interaction","ANOVA_condition",27.339998685869,NA,1,NA,1.98582677678575e-07
"clustering_coefficient","glmcc_raw","interaction","ANOVA_region",2.38604688424706,NA,8,NA,0.0148925626125987
"clustering_coefficient","glmcc_raw","interaction","ANOVA_condition:region",6.38259421943799,NA,8,NA,3.74171269849965e-08
"local_efficiency","glmcc_raw","interaction","(Intercept)",0.742798318523314,0.289836671215984,67.3121083475677,2.56281689755465,0.0126243579057546
"local_efficiency","glmcc_raw","interaction","conditionlightON",2.55558677827273,0.395364517839647,1304.16074030796,6.46387488750126,1.43851760687563e-10
"local_efficiency","glmcc_raw","interaction","regionARH",0.777609163645296,0.297260014089166,1309.22400524111,2.61592251493349,0.00900102176396106
