"metric","estimator","model_level","term","estimate","std_error","df","t_value","p_value"
"node_strength","glmcc_dc","interaction","(Intercept)",13.3280283219446,64.0165585766153,163.981155164479,0.20819657629664,0.835333845388609
"node_strength","glmcc_dc","interaction","conditionlightON",103.362430843047,98.673660242444,1307.50739960833,1.04751795554236,0.295054351480543
"node_strength","glmcc_dc","interaction","regionARH",25.1774019929364,74.0721457076502,1311.9839422373,0.339903775601522,0.733983400538969
"node_strength","glmcc_dc","interaction","regionDMH",13.1319199545606,58.9544458599874,1311.54204869449,0.222746898270369,0.823767182160492
"node_strength","glmcc_dc","interaction","regionMC",28.217251013962,63.1428235639682,1309.19479780548,0.446879778592351,0.655035778944641
"node_strength","glmcc_dc","interaction","regionPH",23.2658643510332,60.4511209225792,1309.7077134016,0.384870685538324,0.700395713840289
"node_strength","glmcc_dc","interaction","regionPVH",13.7080939081817,59.4060297455412,1311.99866528098,0.230752567826847,0.817543008568686
"node_strength","glmcc_dc","interaction","regionVM-thalamus",-157.239671211199,57.3042247418478,1311.95417066458,-2.74394552791795,0.00615328923510252
"node_strength","glmcc_dc","interaction","regionVMH",-4.89238937388008,64.1987364481734,1308.90854062512,-0.0762069418271125,0.939266105989441
"node_strength","glmcc_dc","interaction","regionZI",3.38261745052878,82.3658347269569,1311.45584927579,0.0410682106451318,0.967247768541444
"node_strength","glmcc_dc","interaction","conditionlightON:regionARH",83.4147009069535,117.561043599079,1305.72350398254,0.709543725993318,0.4781138076672
"node_strength","glmcc_dc","interaction","conditionlightON:regionDMH",100.042940090199,101.065028886657,1306.75194570576,0.989886820320369,0.322412694931092
"node_strength","glmcc_dc","interaction","conditionlightON:regionMC",56.7847488010212,104.134748613275,1306.92409283943,0.54530067587624,0.585639786007326
"node_strength","glmcc_dc","interaction","conditionlightON:regionPH",97.192306493587,101.899355206094,1307.15572867097,0.953806884224276,0.34035774762391
"node_strength","glmcc_dc","interaction","conditionlightON:regionPVH",67.1317007124071,102.298505576695,1306.53312871301,0.656233444799221,0.511789484575157
"node_strength","glmcc_dc","interaction","conditionlightON:regionVM-thalamus",449.370243453103,99.760170631356,1306.51770140392,4.50450556178038,7.24690857760319e-06
"node_strength","glmcc_dc","interaction","conditionlightON:regionVMH",116.366984729607,110.120977738716,1303.36246037422,1.05671950176207,0.290835443239178
"node_strength","glmcc_dc","interaction","conditionlightON:regionZI",136.607411756953,127.558079399082,1305.01149300482,1.07094283953241,0.284393152726298
"node_strength","glmcc_dc","interaction","ANOVA_condition",1000.63016469741,NA,1,NA,1.8196086053712e-163
"node_strength","glmcc_dc","interaction","ANOVA_region",0.182051650038537,NA,8,NA,0.99336888150949
"node_strength","glmcc_dc","interaction","ANOVA_condition:region",38.4592290760173,NA,8,NA,3.5153681714243e-55
"clustering_coefficient","glmcc_dc","interaction","(Intercept)",0.630666598308744,0.0645459068304211,556.751280227361,9.77082249329411,6.42911827745009e-21
"clustering_coefficient","glmcc_dc","interaction","conditionlightON",0.124357026150248,0.105143039245701,895.8595152908,1.18274140677679,0.237225442957465
"clustering_coefficient","glmcc_dc","interaction","regionARH",-0.0261976041576215,0.0825096691792866,1220.59794908887,-0.317509504258177,0.750911333725291
"clustering_coefficient","glmcc_dc","interaction","regionDMH",0.0965757066586463,0.0655130204548715,1207.24804227155,1.47414523079687,0.140703196894367
"clustering_coefficient","glmcc_dc","interaction","regionMC",0.117696851938891,0.0700864957662576,1140.47593922037,1.67930855512332,0.093365830598317
"clustering_coefficient","glmcc_dc","interaction","regionPH",0.13437610369492,0.0670619840215021,1160.54724312971,2.00375974041918,0.045327895962099
"clustering_coefficient","glmcc_dc","interaction","regionPVH",0.115433293177351,0.0660816304766681,1239.76909129018,1.74682876836867,0.0809146710511653
"clustering_coefficient","glmcc_dc","interaction","regionVM-thalamus",-0.0039353783015224,0.0638173455863088,1242.66190775285,-0.0616662799959308,0.95083850989707
"clustering_coefficient","glmcc_dc","interaction","regionVMH",0.0677104553961651,0.0717964591536389,1275.07593354433,0.943089063086941,0.345814001653382
"clustering_coefficient","glmcc_dc","interaction","regionZI",0.103293721994453,0.0919858837686185,1246.28956793175,1.122930147133,0.261683434376784
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionARH",0.041173503413615,0.124558936175621,814.918370518427,0.330554391983267,0.741066067116529
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionDMH",-0.0174833863996896,0.107653664875455,885.817193329372,-0.16240400565941,0.871024754780897
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionMC",-0.107442421389629,0.110745270509846,867.684940199585,-0.97017616097725,0.332229048245039
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionPH",-0.0829991006712994,0.108450784884762,878.655441956611,-0.765315813615302,0.44428902310764
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionPVH",-0.0130370223022454,0.108931531889331,880.202904990668,-0.119680886480972,0.90476325215771
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionVM-thalamus",0.107287762400269,0.106355146672766,894.492608811095,1.00876888196462,0.313358284660158
"clustering_coefficient","glmcc_dc","interaction","conditionlightON:regionVMH",0.0341704155138204,0.117419575774371,874.936220981966,0.291011232909588,0.771111698815524
