"animal","rho","n_neurons"
"171019",-0.262457341035866,126
"171208",0.292859526631953,34
"171213",0.0055211651592452,33
"180110",-0.0477582831418317,34
"180111",0.242992102884982,24
"180131",-0.40863393175617,31
"180221",-0.083287964651497,53
