animal,level,jitter_ms,status,n_units,spikes_kept,spikes_total,retention_pct,n_base,n_jit,overlap,survival_pct,jaccard,sign_agree_pct,weight_r,neg_pct,elapsed_s,note
night6,50,50,ok,54,63965,64167,99.685,56,3,1,1.79,0.0172,100.0,,100.0,1.0,
night6,100,100,ok,54,63810,64167,99.444,56,5,0,0.0,0.0,,,100.0,1.5,
night6,shuffle,,ok,54,64167,64167,100.0,56,4,1,1.79,0.0169,100.0,,100.0,1.1,
night7,0,0,ok,79,311580,311580,100.0,1243,1243,1243,100.0,1.0,100.0,1.0,100.0,2.9,
night7,5,5,ok,79,311500,311580,99.974,1243,81,65,5.23,0.0516,33.85,-0.5183,45.68,2.2,
night7,10,10,ok,79,311429,311580,99.952,1243,69,56,4.51,0.0446,28.57,-0.6223,42.03,2.2,
night7,25,25,ok,79,311176,311580,99.87,1243,67,39,3.14,0.0307,20.51,-0.7502,53.73,2.3,
night7,50,50,ok,79,310832,311580,99.76,1243,40,15,1.21,0.0118,73.33,-0.5992,90.0,2.3,
night7,100,100,ok,79,310055,311580,99.511,1243,30,8,0.64,0.0063,75.0,0.6239,93.33,2.1,
night7,shuffle,,ok,79,311580,311580,100.0,1243,30,9,0.72,0.0071,88.89,0.5715,96.67,2.4,
