"","submedius thalamic nucleus","reuniens thalamic nucleus","dorsomedial nucleus of hypothalamus","parvicellular part of ventral posteromedial nucleus","ventromedial hypothalamic nucleus, dorsomedial part"
"submedius thalamic nucleus",54,632,362,233,42
"reuniens thalamic nucleus",712,6316,4684,2565,793
"dorsomedial nucleus of hypothalamus",413,4747,3132,2123,725
"parvicellular part of ventral posteromedial nucleus",235,2142,1657,747,161
"ventromedial hypothalamic nucleus, dorsomedial part",41,681,661,163,43
