0,10,41,39,36,80,68,44,40,23,32,27,39,13,22,27,7,21,51,36,15,22,22,18,21,40,45,62,36,14,30,44,41,29,24,24,27,33,39,36,35,38,39,19,44,23,61,18,45,18,20,39,49,31,40,43,52,23,7,38,23,33,33,34,49,53,10,34,36,18,9
10,0,15,26,24,22,13,19,28,24,12,21,11,8,10,24,11,19,24,18,10,10,25,6,11,12,8,26,22,19,14,11,11,18,17,17,12,27,14,13,20,16,25,5,18,11,24,5,24,14,18,17,19,17,26,39,26,4,6,18,15,30,21,16,25,28,4,22,12,25,6
39,17,0,5,29,12,7,9,4,25,25,1,11,0,1,2,5,7,17,4,12,0,11,1,4,14,9,7,3,35,19,10,15,26,19,47,25,18,9,6,13,7,6,28,6,30,17,23,15,14,15,12,7,5,7,2,12,5,2,11,11,21,39,4,1,11,3,14,2,5,4
24,26,5,0,11,22,6,5,10,39,28,10,6,11,9,7,11,12,27,14,12,6,12,5,10,10,9,10,30,15,12,9,14,8,22,28,10,16,16,9,18,13,19,22,19,18,13,27,41,28,27,20,26,8,8,20,12,14,1,14,8,41,23,17,13,51,6,29,6,9,1
43,23,28,17,0,12,17,15,9,38,55,5,23,5,3,5,8,12,26,11,23,8,23,7,4,28,18,15,13,78,34,28,49,55,44,63,33,40,25,21,40,22,24,44,11,36,19,23,34,42,21,43,23,3,13,5,35,17,1,28,23,38,52,18,4,22,7,58,11,14,11
54,23,11,26,11,0,11,6,8,46,46,8,8,2,4,8,4,3,25,9,12,7,14,6,7,16,12,10,20,27,12,13,12,19,35,21,9,23,5,14,15,13,14,33,14,33,12,24,27,29,19,33,14,5,20,6,13,25,2,23,10,29,48,9,1,14,5,44,15,7,5
63,13,7,6,17,13,0,0,1,24,31,4,2,1,1,0,3,3,5,5,14,2,10,2,3,4,5,4,7,12,2,10,6,3,16,12,6,14,5,5,7,10,6,29,4,27,3,23,11,17,15,23,7,3,5,5,11,8,2,11,2,21,40,4,0,10,1,23,4,2,3
42,18,9,6,16,6,0,0,1,22,20,3,12,2,1,2,0,3,10,2,11,5,7,0,2,7,10,3,6,26,10,12,13,15,15,28,14,14,13,10,10,9,7,19,4,22,12,26,12,9,10,14,5,0,5,0,10,3,0,14,6,14,39,5,0,5,2,18,1,4,3
24,21,4,10,7,8,1,1,0,34,22,4,4,2,0,2,6,2,6,2,9,3,8,1,1,4,4,3,12,4,4,2,2,5,10,9,3,6,3,1,3,0,3,16,5,15,9,22,14,14,5,11,6,0,1,9,4,1,0,2,2,13,26,7,4,8,1,9,0,3,1
16,21,22,39,31,54,28,20,42,0,19,23,9,14,20,27,8,10,47,31,12,12,16,20,21,14,15,34,40,15,15,18,11,18,20,23,18,31,10,16,25,18,20,17,41,10,43,7,37,22,21,29,29,17,25,31,40,16,4,27,18,47,19,15,42,33,11,41,19,23,5
35,19,22,47,42,45,29,19,26,21,0,2,5,16,11,17,6,16,46,22,18,22,32,17,7,38,24,39,36,40,31,31,26,27,34,14,21,33,19,37,32,26,24,28,32,16,21,21,38,36,34,43,43,21,28,23,38,27,1,41,25,42,25,26,19,30,13,59,28,10,6
