0,13,11,2,0,14,15,7,10,9,9,4,5,2,5,1,28,6,17,16,2,9,14,12,1,29,13,11,4,5,3
16,0,7,1,2,3,23,23,28,18,7,15,13,3,19,4,25,14,16,14,17,18,24,23,7,27,10,9,7,4,6
13,6,0,1,0,23,9,14,8,15,7,3,9,4,8,6,25,9,11,19,21,12,18,13,3,14,11,6,8,3,3
2,2,1,0,0,0,2,1,2,1,1,1,0,1,1,0,13,3,3,2,0,0,8,0,1,20,4,4,0,2,0
0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,1,0,1,0
12,4,21,0,1,0,14,9,7,1,9,4,6,3,8,1,24,10,21,21,9,5,17,8,3,26,4,14,9,4,0
13,24,16,2,1,14,0,9,15,12,13,8,16,3,6,7,28,42,71,40,46,35,49,12,13,25,10,10,14,5,4
9,25,14,1,1,10,11,0,18,3,13,22,11,5,16,7,17,24,76,24,26,30,29,19,11,25,8,10,3,4,15
13,29,10,1,1,7,15,13,0,8,10,8,6,2,16,3,23,17,45,27,22,22,29,23,6,23,6,8,1,7,18
9,23,15,1,0,1,12,2,5,0,8,8,6,4,11,1,28,15,55,23,13,20,31,13,3,33,4,9,6,6,19
8,6,9,1,0,9,6,11,8,8,0,11,3,4,17,5,21,8,8,14,8,17,13,11,16,24,1,11,4,6,6
5,15,3,1,1,5,9,21,9,8,15,0,2,3,15,1,16,8,22,12,8,17,10,8,2,36,1,8,1,9,22
5,11,8,0,0,5,12,12,5,6,2,1,0,2,11,5,23,6,7,22,5,10,14,9,4,26,3,16,14,4,5
2,3,4,1,0,3,3,4,1,4,4,3,2,0,1,0,18,5,17,11,5,4,10,8,1,22,0,1,3,2,1
7,15,9,1,0,8,7,16,13,7,12,12,12,1,0,4,26,6,5,12,2,6,15,11,11,23,9,5,8,1,6
1,4,6,0,0,1,6,7,3,1,7,1,5,0,4,0,22,1,6,6,1,0,9,1,2,27,1,3,4,1,2
33,19,32,12,2,35,17,14,20,29,36,17,18,22,38,20,0,12,1,22,23,17,11,21,33,14,24,22,29,19,11
9,15,10,3,0,11,45,21,13,14,11,7,4,4,7,1,16,0,60,65,11,19,62,28,5,20,5,5,2,6,2
56,75,74,6,3,72,136,164,126,134,53,74,53,37,44,21,12,156,0,72,153,187,111,138,65,21,46,32,34,28,41
17,20,20,3,2,27,39,28,19,24,18,12,29,9,18,6,24,56,15,0,28,38,27,41,9,15,7,22,20,15,10
3,17,23,0,0,10,53,26,22,12,9,7,5,5,2,1,21,11,75,34,0,12,63,29,8,23,8,6,2,5,4
9,19,11,0,0,5,34,30,24,16,18,18,13,3,8,0,26,19,121,43,12,0,51,21,7,33,11,10,5,7,11
28,47,33,8,0,25,66,37,29,32,28,11,21,15,26,13,20,67,89,65,54,50,0,25,22,16,16,30,13,13,7
12,19,13,0,1,7,8,15,22,10,15,11,11,7,11,1,26,22,50,41,34,17,24,0,5,29,7,8,10,6,11
1,7,2,1,0,5,9,9,6,5,16,3,5,1,11,2,20,5,20,7,9,5,12,5,0,17,2,4,5,4,7
31,35,23,22,3,34,29,22,27,37,37,49,41,30,42,37,18,24,3,11,27,30,8,32,31,0,34,32,25,36,29
14,11,10,4,2,4,11,8,8,3,1,2,3,0,10,1,21,5,26,13,9,11,16,8,3,29,0,12,1,3,4
10,9,5,4,1,14,4,8,7,8,9,8,18,2,7,3,18,2,10,24,6,9,18,8,5,19,13,0,10,6,5
4,7,6,0,0,7,8,3,1,5,6,1,15,4,12,5,18,3,8,20,4,4,11,11,5,26,1,9,0,3,3
5,4,2,2,1,4,5,3,6,6,6,6,4,1,1,1,18,5,13,9,7,7,14,6,4,33,3,6,2,0,2
3,7,3,0,0,1,3,17,19,20,6,21,5,1,7,2,12,2,22,12,4,11,6,11,7,25,4,4,3,1,0
