0,0,0,4,7,4,8,9,6,2,6,3,9,0,1,0,0,2,1,5,4,4,1,1,3,2,6,2,0,0,12,6,3,1,4,11,0,2,5,2,2,5,6,1,1,2,0,4,2,9,0,4,2,0,5,3,4,5,9,17,0,0,4,2,7,7,9,2,4,2,6,2,4,0,7,10,4,1,5,5,1,1,5,8,4,7,3,0,2,2,4,2,3,3,4,3,5,3,1,1,0,3,4,3,10,1,4,3,5,8,3,2,5,1,4,1,1,7,3,4,4,14,2,10,0,3
0,0,5,4,22,11,10,22,15,6,11,6,16,1,4,13,20,20,18,12,13,22,27,33,26,2,13,3,11,5,38,20,14,10,27,10,4,16,24,21,15,22,11,6,15,5,3,5,34,26,15,6,15,4,24,6,17,25,13,25,7,3,4,32,4,45,24,11,9,8,14,19,20,20,10,26,20,13,12,18,6,10,24,36,56,19,4,4,25,4,20,15,10,6,15,6,24,10,5,2,8,18,26,23,23,17,29,18,33,27,5,8,22,15,21,7,32,46,24,15,31,23,41,33,11,28
0,5,0,0,30,20,27,33,13,22,17,5,20,0,4,10,10,35,41,18,17,22,17,34,45,10,19,15,21,12,37,32,23,22,31,22,10,21,42,34,26,35,18,8,30,16,8,16,24,39,20,7,24,14,43,16,39,31,33,32,17,6,22,36,26,45,22,11,20,17,42,25,22,13,17,27,25,14,22,25,10,21,43,59,57,42,2,7,24,8,39,14,24,20,24,14,19,14,9,5,15,26,28,48,48,35,40,28,40,61,11,13,26,31,37,20,29,28,39,34,35,31,38,52,15,27
3,4,0,0,24,13,18,40,9,15,49,11,25,9,32,8,35,23,31,12,16,25,23,34,27,3,21,9,7,9,42,26,16,14,22,12,6,16,16,9,14,20,12,7,19,8,6,14,26,20,13,7,20,5,22,10,21,16,25,39,11,7,11,54,21,30,27,15,7,42,21,42,16,22,11,12,22,13,21,18,1,19,17,33,28,20,6,5,21,12,27,19,16,13,15,17,17,14,12,3,9,13,18,27,38,21,30,21,18,34,6,8,34,25,32,16,43,56,55,40,47,44,49,56,9,26
6,20,29,20,0,11,31,32,53,22,23,18,32,11,25,18,26,28,48,54,90,30,31,24,36,24,65,18,77,22,27,34,33,18,59,47,22,70,37,42,58,45,55,42,62,61,50,49,22,46,46,22,35,8,33,36,36,35,24,39,40,45,52,25,21,32,27,20,21,34,25,24,22,24,73,38,46,32,40,35,38,41,44,42,36,36,15,32,36,66,50,32,69,79,37,64,37,25,24,64,42,35,55,56,46,30,51,36,41,40,52,41,43,57,80,23,18,27,29,36,36,32,37,46,25,30
4,11,17,13,14,0,10,32,38,9,9,8,41,2,9,7,9,11,58,71,32,25,6,15,44,6,43,9,40,10,21,19,17,8,20,18,4,21,49,26,27,44,18,23,36,21,18,29,10,12,15,8,21,3,16,23,16,9,17,32,25,26,33,16,8,33,43,12,9,19,14,20,4,11,43,26,42,22,35,16,20,24,27,33,11,19,11,27,12,26,32,9,32,26,17,39,22,13,22,31,23,30,27,29,27,16,26,16,28,36,25,20,73,47,67,8,10,11,17,13,17,24,17,23,20,16
8,10,24,17,33,9,0,7,31,19,17,10,27,4,22,10,22,17,70,62,53,30,20,23,44,11,65,9,45,23,29,11,21,4,21,12,3,27,26,21,59,53,33,31,50,34,20,42,16,26,32,14,43,13,20,37,32,19,34,32,24,27,28,23,21,21,42,11,12,24,20,23,14,11,44,33,47,42,47,18,28,30,23,42,25,27,11,19,21,39,50,17,47,67,43,39,29,17,24,30,38,41,35,53,39,34,36,28,38,37,30,43,52,42,68,16,17,20,22,27,33,22,16,24,20,35
9,19,34,27,36,33,8,0,17,31,30,31,43,11,23,20,25,26,77,59,43,32,35,34,35,8,52,16,48,33,8,22,40,19,20,4,5,7,13,8,38,53,45,37,39,35,27,46,30,39,47,15,62,12,29,54,46,43,31,30,45,48,43,23,55,26,58,19,24,33,40,36,17,21,49,39,50,49,45,34,34,63,37,39,30,27,16,30,49,50,44,16,59,53,65,55,38,29,27,28,50,38,53,45,47,34,52,30,41,50,44,40,36,64,50,20,30,42,32,23,30,47,22,50,29,30
5,15,12,8,46,38,27,11,0,10,9,18,22,8,12,6,6,7,22,46,44,9,13,11,31,9,54,8,36,16,20,28,21,23,30,30,14,15,21,13,38,36,27,22,41,39,31,37,11,24,12,10,17,11,15,29,22,17,19,14,25,30,20,12,23,17,30,9,16,5,14,14,12,14,52,39,34,26,33,21,30,28,24,21,16,17,5,27,17,38,29,14,30,41,18,23,23,21,31,40,38,27,23,21,13,20,16,18,18,19,38,33,42,37,29,15,18,18,9,21,15,19,14,14,18,9
1,4,21,14,23,9,19,33,8,0,2,20,32,10,16,7,26,20,20,17,14,19,18,12,35,3,17,6,13,11,16,14,12,2,12,11,5,15,27,14,5,25,7,14,19,9,8,16,9,27,8,2,14,3,18,6,14,7,8,36,9,2,11,27,21,33,17,14,2,26,17,15,10,11,17,20,18,14,16,17,4,19,25,14,14,13,5,4,18,6,30,9,18,9,12,9,11,18,11,5,18,22,7,21,13,8,13,19,31,28,11,13,24,21,19,19,23,9,19,17,10,32,21,29,22,20
