"","reuniens thalamic nucleus","paraventricular hypothalamic area, medial, magnocellular part","paraventricular hypothalamic area, lateral magnocellular part","subparaventricular zone","dorsomedial nucleus of hypothalamus","paraventricular hypothalamic nucleus, posterior","submedius thalamic nucleus"
"reuniens thalamic nucleus",306,610,175,127,247,1269,40
"paraventricular hypothalamic area, medial, magnocellular part",602,498,118,114,328,1910,104
"paraventricular hypothalamic area, lateral magnocellular part",165,117,0,30,114,490,30
"subparaventricular zone",109,105,28,0,66,350,22
"dorsomedial nucleus of hypothalamus",248,334,116,71,67,831,49
"paraventricular hypothalamic nucleus, posterior",1285,1992,504,378,846,2988,215
"submedius thalamic nucleus",40,105,29,21,49,217,0
