"","reuniens thalamic nucleus","paraventricular hypothalamic area, medial, magnocellular part","paraventricular hypothalamic area, lateral magnocellular part","anterior nucleus of hypothalamus","submedius thalamic nucleus","dorsomedial nucleus of hypothalamus","paraventricular hypothalamic nucleus, posterior","tuber cinereum area"
"reuniens thalamic nucleus",307,401,195,404,525,286,189,32
"paraventricular hypothalamic area, medial, magnocellular part",425,514,199,400,609,292,204,46
"paraventricular hypothalamic area, lateral magnocellular part",216,227,55,154,282,155,90,43
"anterior nucleus of hypothalamus",408,407,135,249,520,280,177,49
"submedius thalamic nucleus",539,617,243,507,538,357,242,59
"dorsomedial nucleus of hypothalamus",283,293,139,264,378,115,122,31
"paraventricular hypothalamic nucleus, posterior",198,210,89,183,257,124,63,25
"tuber cinereum area",32,47,43,50,64,37,26,0
