"","ventromedial hypothalamic nucleus","lateral hypothalamic area","dorsomedial nucleus of hypothalamus","posterior hypothalamic area","premammillary nucleus, ventral part","premammillary nucleus, dorsal part"
"ventromedial hypothalamic nucleus",110,25,1047,870,48,769
"lateral hypothalamic area",26,0,137,150,1,119
"dorsomedial nucleus of hypothalamus",1069,134,4880,5189,295,4109
"posterior hypothalamic area",907,154,5147,4168,291,3581
"premammillary nucleus, ventral part",49,1,271,263,0,200
"premammillary nucleus, dorsal part",788,123,4175,3662,210,3367
