0,8,46,29,35,78,72,45,43,22,27,30,42,14,25,31,4,21,45,37,11,27,23,22,24,44,44,64,35,11,34,46,40,25,18,18,27,28,38,38,34,39,38,16,44,22,59,17,38,18,14,31,40,37,42,43,54,26,9,38,25,26,26,38,54,42,12,24,41,17,9
6,0,15,20,24,25,16,22,30,20,11,21,12,8,10,28,10,20,22,20,10,11,27,6,11,16,8,32,21,15,15,11,12,17,8,15,14,22,16,14,19,17,27,6,21,10,26,2,21,11,13,14,17,20,29,41,28,5,6,17,18,22,21,21,27,28,4,22,13,24,6
42,17,0,5,31,13,7,9,4,26,25,1,12,0,1,2,5,7,17,4,13,0,14,1,4,14,9,7,5,35,20,11,15,27,20,49,25,22,10,7,13,8,6,32,8,32,17,24,15,16,16,18,7,6,7,2,16,5,3,12,13,23,40,4,1,11,3,18,2,6,4
25,25,5,0,12,21,7,5,12,30,24,10,6,11,12,7,13,13,29,16,13,6,13,6,13,11,10,13,30,14,12,9,13,9,22,26,12,18,17,9,18,15,21,21,22,15,16,24,45,28,27,23,28,10,10,20,14,14,2,15,8,44,21,17,13,55,6,33,6,10,1
43,21,30,22,0,13,17,19,9,38,58,6,24,5,3,6,9,14,29,15,19,8,28,10,6,32,19,17,14,80,38,31,52,57,47,66,40,40,26,27,45,23,28,44,17,34,20,21,39,38,24,45,24,3,15,6,38,18,3,30,25,41,52,21,4,24,7,63,12,14,11
50,23,12,26,12,0,11,6,10,47,45,8,10,3,4,10,5,5,28,11,13,8,16,6,7,16,12,10,21,31,13,14,13,21,38,22,10,25,8,15,15,13,14,35,14,30,13,22,29,28,20,34,17,6,21,6,13,27,1,23,12,31,44,13,1,14,5,46,17,9,5
65,16,7,7,17,13,0,0,2,27,32,4,2,1,1,1,4,5,7,5,14,2,10,2,3,5,8,4,10,14,2,12,6,3,17,12,7,16,5,6,7,11,6,30,5,28,3,23,12,20,16,24,8,4,5,5,11,10,2,11,3,22,42,6,1,10,1,27,5,2,3
45,22,9,6,19,6,0,0,1,26,22,3,12,2,3,3,0,4,14,2,10,5,8,1,3,8,10,3,7,27,11,15,13,15,17,29,15,14,13,10,11,9,8,19,5,27,13,25,11,13,11,15,5,1,6,0,11,3,0,15,8,16,42,7,0,5,2,20,2,5,3
24,22,4,12,7,10,2,1,0,34,22,4,4,3,0,2,6,4,6,2,9,3,9,1,2,4,4,3,13,5,4,2,2,5,10,10,4,6,4,1,4,0,4,19,6,15,10,24,17,14,5,14,7,1,2,10,4,2,0,3,3,14,29,7,4,8,1,11,0,3,1
15,20,24,31,29,55,30,24,43,0,13,25,9,15,22,28,12,11,42,33,9,13,15,21,22,14,18,35,40,14,17,18,11,16,18,17,19,26,11,18,24,19,20,13,41,9,42,7,28,18,19,24,26,17,27,35,41,20,5,27,23,37,20,16,45,27,12,31,20,22,5
