0,0,0,4,9,4,9,10,7,2,6,3,10,0,1,0,0,2,3,5,4,5,1,1,3,2,6,2,1,0,13,7,3,1,5,12,0,3,5,2,3,5,6,1,1,2,0,4,3,9,0,4,2,0,6,3,4,6,9,19,0,0,4,3,7,7,10,2,5,2,7,3,6,0,7,10,4,1,5,7,1,2,6,8,5,7,3,0,2,2,5,2,3,3,4,4,6,3,2,1,0,3,4,3,11,1,7,3,5,9,3,2,5,1,5,1,1,7,3,4,4,16,2,11,0,3
0,0,5,4,24,11,14,22,15,8,11,6,18,1,5,13,22,22,21,11,15,23,30,36,27,2,14,3,11,6,41,22,15,11,28,11,4,17,25,23,15,22,11,6,15,5,3,7,39,26,17,8,15,5,26,6,20,28,17,27,7,3,4,36,4,47,25,11,10,10,15,21,21,21,11,27,21,14,12,18,6,11,25,36,63,19,4,4,30,4,20,17,11,7,15,6,24,11,5,2,8,20,30,25,23,18,31,22,33,33,5,9,29,17,21,9,35,50,26,17,31,24,43,34,11,30
0,5,0,0,29,21,26,34,15,26,19,7,23,1,4,10,10,37,42,18,18,23,17,34,45,10,21,15,23,14,36,33,24,22,33,24,10,25,47,37,29,37,18,10,35,17,9,16,25,42,20,10,25,15,48,19,43,32,36,31,16,6,27,39,26,48,22,11,22,17,45,29,22,15,18,27,26,13,23,26,10,24,42,62,62,43,3,6,27,8,37,18,25,23,27,15,21,15,12,7,16,27,27,51,51,38,42,31,44,64,13,14,23,32,35,20,30,32,42,39,40,33,42,54,17,27
3,4,0,0,26,14,19,41,9,17,52,11,27,9,34,8,40,27,33,15,18,24,28,35,28,3,22,9,9,10,43,26,17,16,24,13,6,18,18,13,14,21,13,8,19,9,6,14,28,19,16,7,21,5,25,12,20,16,25,38,11,7,11,59,23,32,30,16,9,46,26,44,18,23,11,12,22,13,23,17,4,21,18,34,32,21,6,5,22,14,32,20,19,15,17,19,17,16,12,3,9,13,19,29,40,22,30,23,21,37,6,9,38,27,32,16,45,57,61,42,50,46,50,65,12,26
8,21,29,23,0,14,30,29,52,21,24,19,32,11,25,18,24,29,50,54,92,32,35,27,35,24,60,20,81,24,22,34,33,18,58,49,23,73,37,41,58,46,55,42,57,60,53,48,22,49,47,22,37,9,37,36,36,38,25,38,45,48,54,26,22,30,27,20,21,36,26,26,22,26,75,35,47,38,41,35,42,41,44,45,36,39,16,32,35,66,51,36,71,80,38,67,40,31,27,63,44,36,58,55,46,31,49,35,40,42,55,41,43,57,85,26,18,26,29,34,39,33,38,50,23,31
4,11,18,14,16,0,10,30,42,9,10,9,46,3,10,7,12,12,58,74,37,28,6,16,47,7,44,10,43,11,23,22,19,10,22,18,5,21,48,29,31,46,19,23,40,23,19,30,10,13,17,8,20,3,17,26,18,10,22,32,30,27,35,17,9,34,47,13,9,20,14,20,4,11,44,27,43,24,38,17,24,25,27,36,12,20,11,27,13,28,34,11,36,27,17,40,22,15,26,34,26,32,29,30,28,17,30,16,29,38,25,23,75,49,68,8,10,11,19,14,19,25,17,24,20,16
9,14,24,17,33,9,0,6,34,19,17,11,26,5,22,11,23,17,69,64,55,32,21,23,42,13,67,10,49,25,29,14,24,5,22,12,3,31,26,20,61,52,34,32,48,36,20,43,18,26,35,16,46,15,21,37,34,21,35,31,29,29,31,26,24,21,40,11,12,25,21,23,14,11,48,34,49,42,45,24,30,31,23,44,25,27,11,21,23,38,52,18,49,77,45,40,34,17,26,30,44,38,39,54,42,34,38,27,39,38,31,46,53,43,70,17,19,22,24,30,34,23,20,26,19,39
10,16,35,25,30,33,6,0,16,32,31,35,43,12,25,21,28,29,76,62,41,34,37,34,31,8,51,18,48,34,7,24,43,18,20,5,4,7,12,8,39,48,48,39,40,37,28,51,28,39,48,16,60,11,32,56,47,42,29,26,44,46,45,25,54,25,60,21,26,33,41,37,21,22,50,35,48,50,45,31,34,58,40,35,29,25,17,31,52,54,40,17,61,54,68,58,42,29,31,29,51,39,53,46,45,33,54,30,37,46,49,42,37,66,52,20,29,41,33,26,39,46,24,50,29,34
6,16,13,8,44,42,29,10,0,10,10,18,25,8,12,8,5,10,18,48,46,9,13,10,29,10,57,11,37,16,22,31,21,25,32,34,13,16,21,14,37,36,28,24,44,45,36,42,10,25,14,10,20,12,15,33,24,19,22,17,26,30,21,11,24,18,32,11,16,5,16,17,12,17,54,42,40,30,42,22,32,30,25,26,17,19,6,28,21,40,30,16,31,44,19,23,29,19,32,42,39,28,24,20,11,22,17,17,18,20,41,33,41,37,27,15,21,18,10,22,16,18,15,16,17,11
1,5,25,16,22,9,19,33,8,0,2,21,34,11,17,7,28,23,22,18,15,23,18,13,37,3,18,6,14,11,17,17,12,2,12,12,5,15,29,14,6,26,7,17,21,10,8,18,12,29,11,3,14,3,17,8,14,7,11,39,10,2,12,28,26,36,18,14,2,30,20,17,11,12,18,22,19,15,17,19,5,22,25,17,15,13,5,4,22,7,33,11,18,8,13,11,11,20,13,6,19,24,9,20,13,11,14,19,32,33,12,13,27,23,19,19,27,10,21,19,10,39,21,33,22,21
6,11,19,52,27,11,16,36,10,2,0,1,5,2,10,10,22,27,20,16,17,21,11,25,30,1,13,13,14,9,27,16,19,12,19,17,6,24,28,17,23,24,8,7,28,12,7,6,19,20,15,5,10,5,20,9,23,21,9,37,8,6,9,37,29,30,19,24,6,18,14,36,10,17,10,9,17,12,14,15,2,17,16,20,23,15,5,6,20,10,22,14,13,18,16,14,10,7,13,3,12,20,20,21,17,12,21,18,16,32,9,18,24,19,21,11,46,24,45,19,26,42,27,33,10,8
2,5,8,12,19,9,11,44,21,20,2,0,36,19,18,5,20,8,22,35,15,31,7,12,22,5,20,8,13,4,19,23,9,6,18,19,12,11,30,23,18,40,9,9,18,14,7,19,10,26,16,2,11,4,20,16,7,5,29,53,11,8,11,21,75,22,28,15,7,21,30,12,12,14,18,27,34,28,18,7,6,29,19,19,12,10,2,5,16,11,36,9,12,13,16,15,17,10,12,4,13,20,20,22,12,11,18,15,24,25,12,11,32,22,14,14,12,16,20,17,17,41,15,22,22,15
8,18,22,21,30,45,23,41,32,35,4,34,0,21,20,14,23,35,29,46,29,30,32,22,29,9,28,19,24,13,31,38,22,23,23,36,22,34,42,23,21,41,19,24,35,20,22,34,18,48,34,11,36,4,36,28,28,9,49,42,19,15,23,38,96,37,37,28,8,50,50,36,21,21,38,20,44,29,39,28,11,58,42,48,24,33,10,22,37,23,48,30,41,22,17,34,39,27,27,9,21,41,40,48,36,23,35,29,46,45,10,28,35,45,40,56,19,31,54,27,26,35,23,23,23,34
0,1,1,9,11,3,5,12,8,11,2,19,23,0,0,0,1,4,10,8,3,15,2,1,12,2,5,5,4,2,6,10,1,0,7,2,2,6,14,12,3,14,2,5,4,3,1,7,1,11,2,0,8,1,4,7,0,3,19,28,6,4,6,6,27,8,5,7,1,10,3,9,2,3,7,8,11,8,9,6,3,8,8,8,1,5,1,2,2,2,3,3,4,5,2,5,1,4,5,1,2,6,7,4,1,6,3,3,9,7,3,3,12,7,1,4,4,1,2,5,4,20,1,13,3,7
