"","posterior hypothalamic area","dorsal tuberomammillary nucleus","premammillary nucleus dorsal","supramammillary nucleus","medial magnocellular hypothalamic area","arcuate nucleus of hypothalamus","dorsomedial hypothalamic nucleus, compact part"
"posterior hypothalamic area",956,1148,376,564,541,916,622
"dorsal tuberomammillary nucleus",1178,813,335,520,517,848,646
"premammillary nucleus dorsal",358,325,44,154,128,236,178
"supramammillary nucleus",549,501,154,181,219,446,314
"medial magnocellular hypothalamic area",544,517,135,254,144,304,287
"arcuate nucleus of hypothalamus",896,845,242,451,302,513,451
"dorsomedial hypothalamic nucleus, compact part",613,643,182,324,266,458,223
