"","ventromedial thalamic nucleus","posterior hypothalamic area","dorsomedial nucleus of hypothalamus","ventromedial hypothalamic nucleus, dorsomedial part","arcuate nucleus of hypothalamus","subincertal nucleus","ventromedial hypothalamic nucleus","zona incerta"
"ventromedial thalamic nucleus",290,1313,2351,41,632,195,384,702
"posterior hypothalamic area",1463,7371,8500,217,2157,4012,1594,1990
"dorsomedial nucleus of hypothalamus",2413,7933,22583,347,4078,1066,5274,2922
"ventromedial hypothalamic nucleus, dorsomedial part",43,211,339,0,96,16,78,67
"arcuate nucleus of hypothalamus",638,1915,3894,99,789,246,553,958
"subincertal nucleus",233,4064,1239,18,310,37,182,264
"ventromedial hypothalamic nucleus",415,1571,5410,90,682,181,231,318
"zona incerta",677,1682,2695,64,885,206,303,5187
