0,9,3,5,1,5,4,0,2,6,5,0,0,21,1,2,5,2,3,5,2,2,6,0,1,15,1,5,9,4,0,6,1,2,3,0,1,3,5,10,4,5,1,6,0,4,1,9,8,4,0,7,7,6,0,3
9,0,15,24,7,27,22,26,18,13,24,12,2,35,7,7,31,21,13,11,24,13,25,10,12,33,7,11,24,36,2,4,8,12,13,18,10,17,30,23,20,9,8,16,10,9,18,25,28,22,13,31,15,6,5,24
3,15,0,1,3,14,6,10,19,6,12,2,1,34,0,3,28,10,5,5,23,3,14,5,2,42,1,8,24,30,2,18,7,2,7,26,4,4,16,15,7,4,4,8,6,22,6,12,27,15,5,18,15,4,1,16
5,24,1,0,15,36,46,36,23,18,18,27,10,24,4,12,15,24,56,12,21,21,50,22,14,27,4,11,26,17,17,24,20,14,42,16,35,42,42,32,53,9,14,28,15,13,30,22,35,17,27,28,22,11,20,36
1,7,3,16,0,7,4,6,4,2,5,5,4,51,2,2,19,7,5,6,16,3,8,2,1,47,0,11,18,15,0,3,1,1,1,13,1,7,26,11,4,4,2,6,5,16,7,9,16,12,4,12,7,8,4,7
5,28,12,38,6,0,30,21,25,10,26,29,8,31,4,16,32,31,27,15,31,20,46,19,14,23,7,8,35,29,9,31,17,14,26,22,26,32,37,33,37,7,11,24,23,13,23,22,26,27,22,25,21,14,9,36
4,27,6,42,4,33,0,8,21,8,29,15,4,29,6,5,36,41,13,2,31,13,34,13,6,25,1,10,40,40,9,22,6,9,24,33,14,11,39,31,20,9,7,21,14,8,30,24,36,35,26,46,17,7,8,39
0,25,9,34,6,18,8,0,13,10,17,17,3,22,0,1,14,23,10,10,12,14,24,15,5,17,1,15,17,16,3,6,6,6,8,24,6,9,31,23,20,9,2,13,11,17,20,15,23,19,14,25,12,10,4,21
2,18,19,24,4,31,19,11,0,15,20,16,15,32,1,7,16,23,32,7,22,25,38,10,19,15,1,5,26,17,16,36,19,11,22,22,15,21,24,31,34,9,10,16,12,12,20,21,24,18,11,11,21,6,22,14
5,13,10,16,2,8,9,8,13,0,1,10,4,18,2,11,8,7,9,4,13,9,13,10,11,17,6,6,18,8,1,10,6,7,7,8,11,16,24,13,13,0,0,7,9,13,9,9,13,6,8,10,8,3,4,10
5,17,12,14,5,28,32,19,21,2,0,20,5,17,1,6,20,20,29,4,28,14,26,24,9,19,1,4,19,22,23,25,24,12,24,21,16,28,22,22,26,0,16,20,7,12,23,12,19,23,19,19,24,0,17,17
0,11,2,24,5,27,14,15,12,12,22,0,2,27,2,1,33,17,17,2,29,3,25,5,3,21,0,13,20,30,3,27,9,2,17,22,10,14,32,32,16,4,8,4,6,9,18,24,21,25,18,22,7,4,9,29
0,2,1,11,4,8,4,3,15,5,7,2,0,29,0,1,11,6,4,0,13,0,11,1,0,22,1,2,9,21,1,12,2,1,2,4,1,2,6,7,4,0,2,0,2,6,8,8,6,4,6,13,6,1,5,9
23,38,41,28,56,29,28,27,27,21,16,37,28,0,6,29,13,28,31,25,22,36,27,37,38,11,18,6,18,13,18,7,41,49,20,19,43,26,22,24,21,7,20,30,12,16,15,12,24,11,24,14,25,18,19,27
1,6,0,6,2,5,5,0,1,4,1,2,0,6,0,2,4,1,2,1,7,6,8,5,0,4,0,2,3,7,0,1,0,1,1,2,2,2,6,0,3,1,0,5,3,2,3,3,5,6,0,3,6,0,0,4
2,8,3,12,2,15,5,1,7,12,6,1,1,34,2,0,25,7,2,1,15,5,11,4,5,27,1,8,15,21,3,13,1,3,0,6,8,8,10,21,10,1,1,12,6,13,11,15,13,12,2,10,6,2,0,9
5,34,30,15,17,29,45,14,21,14,22,28,10,20,6,28,0,168,51,24,18,28,19,28,29,84,7,37,46,40,12,18,21,29,31,13,55,51,33,22,37,6,14,37,28,14,28,15,25,23,24,23,15,14,17,35
2,25,7,27,6,37,42,22,22,9,21,18,5,33,4,6,168,0,34,9,21,14,42,21,10,64,1,13,50,27,13,23,11,14,29,13,31,53,45,35,35,8,11,31,15,13,36,18,33,35,26,37,20,14,23,31
3,12,5,51,5,31,13,9,29,7,34,16,4,31,2,2,46,33,0,4,36,4,29,7,8,28,1,18,40,30,14,17,7,1,13,27,13,21,30,30,21,4,13,13,4,11,26,29,35,32,30,46,16,5,8,32
5,8,4,13,5,15,1,10,7,4,4,2,0,29,1,1,18,9,4,0,9,3,10,3,3,31,3,12,14,11,0,5,2,6,1,2,10,1,10,9,3,7,0,10,8,14,7,4,15,14,3,6,7,7,2,9
2,21,21,20,16,29,31,16,16,12,24,25,13,20,7,14,19,24,39,9,0,25,28,35,21,13,4,5,21,25,18,23,30,14,30,22,29,23,26,36,25,3,18,29,9,13,18,22,13,16,15,23,18,2,14,26
2,12,3,24,3,19,11,15,27,10,14,3,0,30,5,5,26,11,4,4,27,0,3,3,4,15,1,8,25,20,3,12,3,7,5,16,13,10,19,21,14,2,5,11,3,11,18,25,23,13,9,24,11,4,6,16
6,29,14,56,9,46,34,24,39,11,27,26,11,30,8,11,16,37,31,11,26,2,0,4,16,25,3,17,38,38,11,47,9,15,43,21,26,35,25,31,43,10,8,28,27,17,29,22,37,21,24,40,31,16,13,34
0,9,5,23,2,22,13,19,12,12,22,4,1,32,5,4,26,17,7,2,43,5,5,0,4,32,2,9,24,33,2,16,4,5,2,30,11,15,20,25,18,0,4,5,5,10,17,22,27,23,8,18,12,0,5,16
1,12,2,14,1,16,6,4,17,11,9,3,0,35,0,5,24,10,8,3,21,5,15,4,0,20,2,13,21,22,2,22,7,3,5,16,6,1,9,19,5,1,1,7,7,12,6,23,18,20,8,16,8,1,2,16
15,38,53,22,46,24,22,17,19,18,22,24,21,14,5,28,71,58,37,30,7,24,27,35,24,0,9,21,32,27,22,11,14,33,26,8,41,59,34,21,33,6,13,38,22,5,21,13,25,20,24,13,11,7,23,31
1,7,1,4,0,7,1,1,1,6,1,0,1,17,0,1,8,1,1,3,4,1,3,2,2,9,0,8,4,4,1,4,1,0,1,5,0,3,4,5,2,1,1,1,1,13,3,2,4,2,1,6,6,1,0,3
