"","submedius thalamic nucleus","ventromedial hypothalamic nucleus","ventromedial hypothalamic nucleus, dorsomedial part","paraventricular hypothalamic nucleus, posterior","dorsomedial nucleus of hypothalamus","anterior nucleus of hypothalamus"
"submedius thalamic nucleus",1934,182,1159,406,815,1085
"ventromedial hypothalamic nucleus",184,0,100,32,62,67
"ventromedial hypothalamic nucleus, dorsomedial part",1168,111,437,194,331,795
"paraventricular hypothalamic nucleus, posterior",431,36,204,27,163,185
"dorsomedial nucleus of hypothalamus",847,68,352,160,171,594
"anterior nucleus of hypothalamus",1090,74,781,166,592,221
