0,7,0,18,5,1,1,2,16,3,5,1,0,6,3,4,1,7,1,14,2,13,5,2,3,19,16,3,5,21,8,8,9,18,0,2,5,10,12,6,2,2,33,4,4,3,5
8,0,1,18,29,0,7,0,43,0,10,4,5,30,0,10,6,19,4,35,10,25,0,9,6,36,41,0,11,19,25,16,36,34,2,9,19,35,9,10,1,10,48,1,14,13,21
0,1,0,1,0,6,0,2,4,4,3,0,2,2,2,3,0,0,4,2,1,1,6,0,1,1,2,5,0,7,0,1,1,5,0,0,1,5,1,0,3,0,3,7,0,1,0
17,17,1,0,17,0,3,0,31,0,13,4,3,32,0,2,4,19,6,33,10,33,1,9,2,24,47,0,18,13,36,18,27,35,1,8,26,33,8,7,2,7,36,0,5,23,21
5,29,0,19,0,1,10,2,37,0,13,2,5,32,0,2,11,30,6,36,22,26,0,2,10,27,39,1,13,14,22,25,51,35,9,13,29,27,7,10,3,8,36,0,10,18,30
1,0,7,0,1,0,0,3,0,8,0,0,0,0,2,2,0,1,1,0,0,1,4,0,0,0,0,4,0,2,0,1,0,3,0,0,0,0,0,0,6,1,0,7,0,1,0
1,8,0,3,8,0,0,1,11,0,4,0,0,15,0,0,2,4,2,7,4,6,1,3,2,12,17,0,8,34,10,2,7,10,0,2,8,12,3,2,0,2,8,0,0,1,7
1,0,4,0,2,3,1,0,0,2,0,0,2,1,3,1,0,0,3,0,0,0,4,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1,10,0,5,3,1,1,0
16,45,4,30,42,0,12,0,0,0,18,9,8,43,1,10,16,41,11,36,27,37,0,11,13,27,34,1,26,16,40,36,39,39,5,17,42,25,4,12,2,15,35,0,24,29,32
3,0,3,0,0,10,0,2,0,0,0,0,3,1,4,2,1,0,3,0,0,0,6,0,0,0,0,4,0,1,0,9,0,2,0,0,0,0,0,0,3,1,0,7,0,1,0
5,12,3,14,13,0,4,0,19,0,0,0,0,6,1,2,4,12,0,9,8,19,0,0,2,3,8,0,7,11,17,11,16,14,1,12,7,7,0,0,0,0,11,0,3,7,3
1,4,0,4,2,0,0,0,11,0,0,0,1,15,1,0,0,10,1,11,4,18,0,4,3,25,14,2,10,16,11,8,11,7,3,3,16,6,7,6,0,5,13,0,0,3,5
0,5,2,3,5,0,0,3,9,3,0,1,0,11,2,0,3,10,1,9,4,11,0,8,14,15,14,2,6,37,13,6,11,5,10,7,14,5,1,1,1,1,12,0,2,5,3
6,32,2,29,38,0,14,1,37,1,4,15,11,0,0,3,11,25,3,32,27,31,0,10,9,28,29,2,13,12,32,35,35,28,4,7,24,29,9,7,1,8,33,0,31,26,34
2,0,1,0,0,4,0,3,0,4,1,1,4,0,0,3,1,1,2,0,0,0,2,0,0,0,1,1,0,0,0,4,0,5,0,0,0,0,0,0,7,0,4,7,0,3,0
4,10,2,3,2,2,0,1,10,2,2,0,0,3,3,0,0,0,1,2,0,1,1,1,1,8,3,5,1,25,1,3,1,6,0,3,0,6,4,0,2,0,6,1,3,2,2
1,6,0,4,11,0,2,0,17,1,5,0,3,12,1,0,0,25,7,17,22,12,0,5,3,14,13,0,10,16,2,3,9,5,0,4,13,7,7,5,0,3,24,0,1,5,7
7,23,0,22,29,1,4,0,46,0,10,10,10,34,1,0,23,0,1,51,18,62,1,8,10,28,46,1,19,10,24,25,37,22,5,19,74,23,6,9,0,9,30,0,6,16,18
1,4,4,6,6,1,2,4,12,3,0,1,1,5,1,1,7,1,0,13,4,18,1,8,1,17,12,3,6,25,11,13,10,6,3,5,15,6,9,7,2,6,16,2,1,9,2
13,36,2,37,38,0,7,0,31,0,7,12,8,34,0,2,17,46,14,0,5,8,0,8,12,26,26,0,21,16,31,30,49,39,6,20,27,20,9,9,2,10,37,0,28,16,23
2,10,1,10,22,0,4,0,26,0,9,4,4,22,0,0,22,18,4,6,0,15,0,4,5,36,43,0,14,24,13,16,26,23,4,10,9,15,7,4,0,7,33,0,5,9,7
13,33,1,51,25,1,6,0,36,0,20,17,10,33,0,1,12,71,18,20,17,0,0,14,15,30,29,0,18,11,32,42,36,37,9,22,93,33,6,15,1,13,20,0,14,34,26
