"","interanteromedial thalamic nucleus","reuniens thalamic nucleus","mediodorsal thalamic nucleus","submedius thalamic nucleus","central medial nucleus","paraventricular hypothalamic area, medial, parvicellular part"
"interanteromedial thalamic nucleus",26011,25372,9437,23442,16781,1761
"reuniens thalamic nucleus",24317,22936,7966,20247,15228,1401
"mediodorsal thalamic nucleus",9769,8569,2963,8218,5614,500
"submedius thalamic nucleus",22713,20734,7775,17170,13116,1137
"central medial nucleus",15941,15028,5182,12877,8057,846
"paraventricular hypothalamic area, medial, parvicellular part",1826,1579,506,1216,953,32
