0,1,9,1,1,10,8,7,8,5,5,2,1,10,1,2,3,5,15,11,1,1,2,11
1,0,7,3,7,8,13,19,10,14,8,15,0,32,5,2,15,20,10,26,7,1,9,16
9,8,0,1,3,13,46,22,37,16,26,15,1,31,3,4,17,25,9,35,7,4,1,4
1,3,1,0,2,7,35,10,34,11,2,13,8,12,0,7,20,22,4,22,10,9,5,23
1,6,2,4,0,4,13,12,7,7,9,9,0,14,4,3,10,13,4,16,7,1,4,13
12,7,17,5,5,0,9,4,30,6,22,7,0,20,3,3,8,2,14,31,3,3,6,19
7,14,34,29,18,8,0,7,18,15,16,31,6,38,11,32,37,18,31,47,8,13,6,47
6,17,24,9,18,4,5,0,29,20,10,20,2,26,5,10,33,15,18,31,9,3,2,39
10,11,49,29,13,33,12,32,0,36,21,44,15,46,14,29,43,44,15,56,10,9,10,40
5,13,15,11,7,9,18,20,39,0,8,4,0,6,7,8,16,26,10,2,13,2,5,23
3,8,14,2,9,16,17,14,29,4,0,9,0,6,2,7,6,7,12,5,3,0,3,21
2,19,13,9,8,8,34,17,35,4,9,0,0,5,6,5,20,32,3,17,11,1,2,17
1,0,1,12,0,1,6,2,15,0,0,0,0,0,1,1,4,8,0,2,1,6,0,8
10,32,23,14,14,20,33,22,30,6,3,9,0,0,3,14,26,25,20,12,10,2,2,25
1,5,3,0,3,3,11,3,8,6,4,7,1,4,0,2,0,6,2,7,3,0,4,7
2,2,3,8,4,3,30,9,27,7,3,4,1,13,2,0,4,6,3,11,7,8,1,20
4,9,15,17,10,7,50,29,27,14,7,22,7,25,0,6,0,15,1,5,8,14,4,30
4,16,20,21,14,3,14,14,35,22,7,29,5,23,5,7,15,0,6,12,7,6,6,28
14,8,11,4,4,13,24,17,14,10,11,5,0,19,2,4,2,9,0,2,5,0,1,19
11,24,40,21,13,35,48,30,48,2,3,6,2,12,6,8,6,10,3,0,12,7,12,29
1,5,6,7,9,3,11,9,8,9,3,11,1,13,3,7,8,14,5,11,0,0,1,7
1,1,4,6,1,2,11,4,9,2,0,1,7,2,0,6,10,5,0,9,0,0,0,4
2,6,2,4,2,3,5,2,7,4,5,4,0,3,4,2,4,6,1,8,1,0,0,6
11,14,4,22,14,19,51,35,31,24,18,17,10,29,8,23,31,39,16,35,14,8,12,0
