"","dorsomedial hypothalamic nucleus, compact part","posterior hypothalamic area","premammillary nucleus dorsal","medial magnocellular hypothalamic area","supramammillary nucleus, medial part"
"dorsomedial hypothalamic nucleus, compact part",0,809,421,603,411
"posterior hypothalamic area",706,6124,3482,6758,4305
"premammillary nucleus dorsal",422,3819,2116,5537,2443
"medial magnocellular hypothalamic area",683,8163,5580,15159,6205
"supramammillary nucleus, medial part",375,4423,2229,5299,2269
