0,1,6,0,1,2,5,4,4,4,6,12,0,6,8,1,5,4,12,11,11,5,2,7,5,3,7,3,3,10,6,12,1,1,1,1,19,21,3,1,1,17,29,38,10,16,4,4,6,0,9,8,16,8
3,0,4,5,4,10,4,6,7,6,3,11,5,7,13,1,5,3,5,3,6,4,7,6,3,1,3,7,2,4,10,8,3,11,0,0,4,14,13,1,9,9,10,6,1,17,0,6,7,0,10,8,4,5
5,4,0,2,4,0,4,5,2,3,3,13,2,6,6,5,3,21,2,8,5,2,2,1,9,1,4,3,5,10,7,4,5,7,1,1,15,18,5,11,3,23,13,19,7,6,5,1,7,0,2,5,10,3
0,3,2,0,1,4,3,0,2,7,5,4,1,2,5,1,1,1,13,5,5,3,5,3,1,0,4,3,6,3,3,8,0,5,2,0,8,15,1,0,1,8,13,9,2,2,1,1,4,0,1,3,8,1
2,5,4,2,0,9,4,7,27,21,17,12,12,9,11,9,7,14,5,16,14,6,12,18,17,0,11,16,12,12,7,18,2,5,2,0,9,25,8,9,2,24,61,43,5,10,10,2,9,0,6,5,6,4
2,10,0,4,9,0,8,5,9,12,2,2,4,6,13,4,4,8,7,9,2,7,11,7,17,0,2,15,4,7,7,11,1,1,2,0,11,28,2,2,2,24,29,25,4,7,3,2,7,0,3,1,3,5
5,5,4,3,4,8,0,1,8,7,7,11,3,7,9,10,4,6,13,6,9,3,25,12,14,0,5,6,5,10,3,15,5,4,0,1,12,18,2,4,1,16,45,36,5,8,3,1,10,0,1,2,17,4
4,5,5,0,7,5,1,0,11,10,9,11,4,8,10,7,3,12,6,18,11,3,9,3,12,0,4,16,14,8,6,20,3,1,0,0,14,25,4,6,4,20,36,38,8,5,3,3,3,0,5,1,15,1
4,6,3,2,27,9,8,11,0,2,8,11,0,2,10,4,6,7,5,4,11,5,2,7,16,2,0,2,9,7,11,4,6,2,0,0,19,20,2,6,2,21,40,33,4,4,6,3,11,0,1,2,4,2
4,6,3,7,21,12,7,10,2,0,8,4,5,7,8,9,4,4,4,17,4,4,15,14,24,2,4,6,10,12,8,14,3,7,0,0,19,18,0,4,5,27,48,35,4,8,3,1,7,0,1,3,10,2
6,3,3,5,17,2,7,8,8,8,0,12,5,4,5,2,7,10,10,12,3,2,21,1,19,1,2,5,1,7,4,6,3,3,0,1,16,19,6,6,5,29,52,36,4,8,4,1,8,0,2,3,10,1
11,7,13,5,10,2,12,12,11,3,12,0,12,7,14,8,4,16,15,7,12,9,22,8,16,2,9,11,9,17,19,19,4,8,0,0,26,29,9,14,7,34,41,40,9,5,8,7,15,1,4,6,14,11
0,4,2,1,12,4,3,4,0,5,5,13,0,6,4,5,2,6,2,17,7,5,9,3,18,0,1,2,1,7,9,3,2,3,0,0,14,17,3,4,3,21,46,31,7,3,1,1,7,0,1,1,3,1
6,8,6,1,9,5,7,7,2,7,4,6,6,0,8,3,8,12,5,8,10,2,12,11,28,0,3,1,3,9,3,12,2,5,0,0,16,20,5,8,2,24,44,24,5,4,10,0,8,0,4,4,10,2
8,8,6,6,10,13,9,10,10,8,5,15,4,7,0,5,5,11,14,16,8,2,17,4,27,0,4,11,5,12,8,21,2,7,0,1,9,12,2,5,8,29,39,30,3,5,6,5,6,0,5,1,8,6
1,1,4,1,8,4,10,7,4,8,2,8,5,3,5,0,6,14,3,7,7,2,2,1,11,1,4,5,1,7,4,0,2,7,0,1,19,15,5,5,6,23,36,24,6,9,9,0,6,0,2,2,14,2
6,5,3,1,7,4,4,3,6,4,7,3,2,8,5,6,0,5,15,11,14,11,3,4,15,7,6,6,3,9,2,11,4,6,0,0,28,21,9,1,7,18,35,42,20,24,15,6,10,0,5,3,14,6
4,3,25,1,13,8,6,11,8,4,9,16,6,11,10,14,4,0,25,19,24,11,13,13,26,4,12,11,10,40,25,22,16,21,3,7,23,18,18,17,7,15,21,24,25,31,27,2,14,1,8,12,25,16
10,3,2,11,3,7,11,6,4,4,10,13,2,5,14,3,15,19,0,13,57,20,8,7,10,2,5,6,7,26,15,16,15,21,0,3,32,19,8,5,17,14,20,39,8,16,13,6,9,0,4,6,13,3
12,4,8,8,13,10,8,23,4,19,12,8,18,7,19,7,9,21,16,0,17,6,4,10,43,4,12,9,7,19,13,72,5,12,1,1,25,35,8,5,7,34,38,52,14,5,9,4,17,0,29,33,53,24
8,3,5,4,13,2,8,10,9,4,3,12,8,11,7,7,12,19,46,18,0,20,9,8,20,3,5,9,13,38,13,21,14,26,1,1,35,13,5,6,10,14,30,18,9,12,8,8,5,0,11,5,20,11
3,1,2,2,6,6,1,2,5,2,1,9,5,2,2,2,11,12,21,5,17,0,0,4,7,4,5,9,1,14,11,3,5,5,0,0,16,28,5,1,7,25,39,42,1,4,3,3,6,0,6,5,8,0
1,7,2,6,12,11,25,10,2,16,21,21,9,12,19,2,3,12,8,4,11,0,0,2,11,0,4,7,11,7,9,7,6,13,0,0,22,34,3,5,5,36,30,22,6,5,6,2,9,0,1,1,11,2
6,5,1,3,18,7,12,3,7,15,1,8,3,11,4,1,4,12,6,10,8,4,2,0,8,0,0,4,2,9,6,5,6,6,0,0,15,31,4,7,7,23,33,24,3,2,3,1,5,1,3,2,7,3
6,3,9,1,18,17,14,11,16,23,18,16,19,27,26,11,16,26,10,44,22,7,11,9,0,2,19,12,16,20,9,38,6,3,2,2,14,13,5,17,4,10,33,56,9,15,7,3,3,0,7,9,9,4
3,1,1,0,0,0,0,0,2,2,1,3,0,0,0,1,7,4,3,4,3,4,0,0,2,0,0,1,0,3,2,6,0,2,0,0,6,23,0,2,4,37,18,19,5,12,3,3,3,0,5,6,18,5
7,4,4,4,11,2,5,3,0,4,2,9,1,3,4,4,6,12,6,12,5,5,4,0,18,0,0,6,1,4,7,10,3,4,1,0,7,22,4,5,8,27,39,24,2,7,7,1,5,0,1,5,5,3
3,5,3,5,16,15,5,18,2,6,5,11,2,1,11,5,6,12,8,7,9,9,7,4,12,1,6,0,2,9,1,10,7,3,0,0,10,9,2,2,2,35,46,40,6,8,3,1,5,0,4,0,7,8
3,3,4,6,12,4,5,14,9,10,1,10,1,3,5,1,3,10,7,5,13,1,11,2,17,0,1,2,0,11,2,9,4,5,1,0,16,17,4,3,6,30,38,33,1,5,4,1,5,0,4,2,3,0
8,2,8,1,12,7,9,7,7,12,7,15,7,9,10,7,8,29,28,18,37,13,7,9,18,3,5,9,11,0,16,16,18,15,0,2,30,13,7,9,9,18,37,48,15,11,6,1,13,0,14,11,18,9
5,7,7,3,7,6,3,5,11,8,4,16,9,3,8,4,3,21,16,12,16,11,8,5,7,2,7,1,2,15,0,7,10,12,0,0,36,16,4,7,14,23,40,36,3,9,9,6,12,1,10,9,12,6
9,7,4,8,18,10,16,18,3,14,6,17,4,12,18,0,11,24,19,70,26,4,7,5,38,6,9,10,9,18,8,0,2,25,0,2,32,44,5,6,2,37,38,49,4,11,5,0,16,0,24,21,39,28
1,3,9,0,2,1,5,3,6,3,3,5,2,2,2,2,4,15,15,5,13,5,6,7,6,0,3,7,4,19,10,2,0,9,1,1,18,6,5,3,4,16,22,18,6,5,5,2,4,0,2,6,14,2
1,7,7,5,5,1,4,1,2,8,3,10,3,5,6,7,6,19,27,9,27,6,11,6,3,2,4,2,5,15,13,23,8,0,0,0,90,119,4,4,5,205,20,7,6,3,6,2,7,0,23,13,23,11
1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,3,6,0,1,1,2,9,2,3,2,1,2,2,0,0,0,3,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,7,3,1,1,0,0,0,2,0,0,0,0,2,0,2,1,0,0,0,3,14,1,1,1,8,9,12,1,0,2,0,2,0,1,0,1,0
29,5,15,12,11,13,16,20,20,17,20,40,16,20,6,21,34,30,54,31,56,34,29,13,14,6,9,16,17,61,51,48,23,114,5,3,0,214,23,12,36,208,3,2,21,29,21,14,29,0,66,75,75,78
30,17,33,14,30,31,35,35,25,21,23,57,26,21,20,28,42,37,59,78,30,52,44,46,51,32,33,22,24,47,47,96,18,226,6,14,263,0,35,34,46,181,7,8,48,59,48,11,64,0,136,167,154,163
3,11,5,1,8,2,2,4,2,0,6,9,3,5,2,5,9,19,9,7,5,5,4,4,5,0,4,2,4,7,4,7,7,4,0,1,26,26,0,1,5,31,48,30,22,13,6,6,6,2,3,4,11,1
1,1,11,1,10,2,4,6,7,4,6,15,4,8,5,5,1,18,5,6,6,0,5,7,17,2,4,2,3,9,6,6,3,4,1,1,11,22,1,0,2,22,39,33,2,5,3,1,10,0,3,1,4,0
1,6,3,1,2,2,1,4,2,5,5,7,3,3,8,6,8,5,17,5,8,10,4,6,4,4,8,2,6,9,13,2,4,4,1,1,27,12,6,2,0,34,38,34,7,7,6,2,9,1,3,2,9,4
27,9,29,13,48,36,29,44,54,47,44,57,38,36,49,48,53,27,51,50,46,43,51,41,29,44,60,53,51,50,59,62,29,291,4,9,193,163,51,45,74,0,9,4,46,39,71,28,46,0,111,124,80,123
44,10,24,14,77,29,52,53,44,51,55,67,51,50,56,37,65,38,48,52,41,42,39,43,61,19,50,59,40,52,59,76,30,31,9,10,2,2,55,55,67,8,0,6,58,99,65,27,49,0,41,33,48,36
40,7,23,12,44,28,43,44,38,40,36,48,30,27,33,26,53,34,53,53,31,50,25,30,67,20,28,41,33,66,49,69,27,7,2,13,1,4,36,38,51,2,6,0,52,75,38,16,31,0,13,26,30,16
10,1,7,2,5,4,5,7,5,3,5,9,8,5,3,6,20,25,8,13,10,1,6,3,9,5,2,6,2,15,3,4,6,5,3,1,14,10,22,2,6,15,35,39,0,35,14,8,6,0,6,9,25,5
16,13,6,2,9,7,8,5,3,8,8,5,3,4,5,8,25,29,17,5,12,4,5,2,14,12,7,8,5,10,8,11,5,4,2,0,25,23,13,4,7,11,52,54,34,0,15,1,16,0,7,9,14,7
4,0,5,1,10,3,3,3,6,3,4,8,1,10,6,9,14,27,14,8,9,3,6,3,7,3,7,3,4,6,9,5,4,6,1,2,18,20,6,3,6,26,51,28,14,15,0,5,6,0,5,5,9,5
5,6,1,2,1,2,1,3,3,1,1,7,1,0,5,0,6,2,7,4,8,3,2,1,3,3,1,1,1,1,6,0,2,2,2,0,14,9,6,1,2,19,27,16,8,2,5,0,8,0,7,2,19,5
5,3,7,5,8,7,10,3,11,9,8,12,7,8,6,6,10,14,11,16,6,9,9,5,4,3,5,7,5,11,11,17,4,7,2,2,19,42,6,10,10,19,30,32,6,16,6,8,0,1,17,23,28,9
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,8,2,1,6,3,1,5,1,1,2,5,1,4,5,2,5,8,4,29,10,5,1,3,7,5,1,4,4,14,10,23,2,23,0,1,59,105,3,3,3,71,29,13,6,7,5,7,17,0,0,13,11,4
8,7,5,3,5,1,2,1,2,3,3,6,1,4,1,2,3,13,7,35,6,5,1,2,9,6,5,0,2,11,8,22,7,13,0,0,77,108,4,1,2,66,24,23,9,9,5,2,23,0,13,0,30,10
21,11,10,8,8,2,18,14,4,8,10,20,4,10,9,14,14,25,17,53,30,17,10,8,9,18,5,7,3,20,13,36,15,29,4,1,62,78,12,4,10,46,21,22,25,16,9,19,30,0,11,30,0,15
