0,2,9,1,1,10,8,7,8,5,5,2,1,11,1,2,3,5,15,12,1,1,2,12
2,0,9,3,7,9,15,21,12,15,10,15,0,31,5,3,17,22,11,27,7,1,9,17
9,9,0,1,3,14,48,24,40,16,27,16,1,31,4,4,17,25,10,37,7,5,2,4
1,4,1,0,2,7,37,11,35,11,2,15,8,12,0,7,22,24,4,22,11,9,5,23
1,6,2,4,0,4,13,12,7,9,9,11,0,13,5,3,11,14,4,17,6,1,3,13
12,8,17,5,5,0,9,4,32,6,23,8,0,20,3,3,8,2,15,32,3,3,6,20
7,14,34,32,19,8,0,8,18,15,18,34,6,39,11,33,43,17,30,49,7,12,5,50
6,20,26,10,18,4,5,0,25,21,12,21,2,30,6,11,32,16,19,30,8,3,2,36
10,11,49,29,13,38,12,27,0,37,21,45,16,44,16,30,40,49,14,54,9,7,10,33
5,13,15,11,9,9,19,21,42,0,8,4,0,6,8,10,16,26,11,2,15,2,5,26
3,8,14,2,8,16,18,17,31,4,0,10,0,5,2,7,6,7,13,5,3,0,4,22
2,19,14,12,12,9,39,20,33,4,10,0,0,5,5,7,20,36,2,17,9,1,2,21
1,0,1,12,0,1,6,2,15,0,0,0,0,0,1,1,4,8,0,1,2,7,0,7
11,32,21,14,14,20,33,26,29,6,3,10,0,0,4,13,26,28,21,12,10,2,2,22
1,5,4,0,4,3,10,3,10,6,4,9,1,5,0,2,0,6,2,7,3,0,4,7
2,3,3,8,4,3,31,10,28,8,3,6,1,13,2,0,4,6,3,11,7,8,1,23
4,12,15,20,12,7,52,29,23,15,7,20,7,27,0,6,0,15,1,7,7,11,4,29
4,17,22,23,15,3,15,15,34,22,7,35,5,24,5,8,14,0,6,12,6,7,5,28
14,8,11,4,4,12,25,17,12,10,12,7,0,21,2,4,2,8,0,2,6,0,1,22
11,25,41,21,12,36,50,30,48,3,3,7,2,12,6,8,8,10,3,0,10,7,10,30
1,8,6,8,8,3,9,9,8,10,3,9,2,12,3,7,8,10,6,9,0,0,1,7
1,1,5,6,1,2,10,4,8,2,0,1,8,2,0,6,8,6,0,9,0,0,0,4
2,6,3,4,1,4,3,3,7,4,5,2,0,3,4,2,4,6,1,9,1,0,0,5
12,18,4,23,15,21,51,37,31,26,20,16,10,27,8,26,29,39,16,38,14,8,11,0
