0,9,3,5,1,5,4,0,2,5,3,0,0,20,1,2,5,2,3,5,2,2,6,0,1,14,1,5,9,3,0,5,1,2,2,0,1,3,5,8,2,5,1,6,0,4,1,6,6,3,0,7,7,6,0,3
9,0,15,23,6,26,23,23,16,13,22,11,1,33,7,6,29,19,12,11,23,10,22,8,12,33,7,11,24,30,0,3,8,12,12,18,9,14,31,27,17,9,7,15,10,15,18,21,28,23,12,27,15,6,4,20
3,15,0,1,3,12,5,10,18,6,8,2,1,34,0,3,26,9,4,5,16,3,14,4,2,40,1,7,22,26,2,16,7,2,6,23,4,2,16,10,7,3,4,6,6,23,4,9,26,12,4,16,12,4,1,15
5,21,1,0,15,33,44,33,22,15,20,26,8,25,3,10,14,26,51,12,21,19,47,21,12,29,4,11,25,24,16,23,20,13,39,17,34,43,45,30,50,9,14,25,15,12,30,23,40,20,29,31,21,11,18,36
1,6,3,16,0,7,4,6,4,2,4,5,3,47,2,2,18,6,3,6,15,3,7,2,1,44,0,11,15,13,0,3,1,1,1,10,1,7,25,11,4,4,2,6,5,13,6,9,14,13,3,12,7,8,4,7
5,27,11,36,6,0,30,18,25,10,23,24,6,34,2,16,34,31,25,15,30,19,41,17,14,28,7,8,34,29,7,31,12,12,22,23,20,28,35,37,30,7,10,21,23,13,23,22,27,26,19,28,19,14,8,37
4,26,5,40,4,32,0,8,16,11,30,14,4,28,6,5,34,38,13,2,31,13,31,12,6,26,1,10,33,40,8,24,5,8,24,31,15,10,37,32,19,9,5,20,14,9,28,22,38,36,25,43,16,7,8,37
0,23,9,29,6,18,8,0,12,11,17,15,2,21,0,1,14,21,8,9,16,14,21,9,5,15,1,17,15,19,3,5,5,6,8,18,6,7,28,21,19,9,1,12,11,14,15,15,22,20,13,22,11,10,4,18
2,16,18,26,4,30,13,11,0,15,21,14,13,30,1,5,19,23,31,7,24,24,37,6,15,16,1,5,31,15,15,35,18,10,19,22,15,19,24,32,33,9,10,12,12,10,21,24,27,18,12,12,19,6,20,18
4,15,9,13,2,6,10,12,13,0,1,8,4,18,3,10,9,8,12,3,12,8,14,9,9,18,6,7,17,9,1,9,5,6,7,7,10,14,22,19,13,0,0,6,8,11,10,8,13,8,6,10,11,3,4,10
3,17,8,18,4,24,29,22,20,2,0,21,5,15,1,6,23,24,23,2,28,12,24,22,9,21,1,4,21,25,23,24,21,10,26,21,13,28,22,24,30,0,16,20,7,12,29,12,22,28,21,24,20,0,18,19
0,10,2,23,5,23,13,12,11,10,21,0,2,28,2,1,31,17,14,2,29,3,25,5,3,20,0,13,19,32,3,27,9,2,13,25,10,12,30,34,17,4,8,4,6,9,17,23,21,26,16,21,7,4,9,28
0,1,1,8,3,6,4,2,13,5,7,2,0,28,0,1,10,6,3,0,10,0,8,1,0,20,1,2,7,20,1,10,1,1,2,4,1,2,4,6,3,0,2,0,2,5,6,7,6,3,6,13,3,1,5,9
22,39,43,31,54,31,33,29,26,22,18,40,28,0,5,31,19,28,32,24,24,38,32,34,36,18,16,7,18,18,21,11,42,45,26,27,49,38,28,24,25,7,19,37,14,14,18,20,27,11,32,19,28,18,24,31
1,6,0,5,2,3,5,0,1,5,1,2,0,4,0,2,3,1,2,1,9,5,7,5,0,4,0,2,4,6,0,0,0,1,1,2,2,1,5,0,3,1,0,6,3,2,3,2,6,7,0,4,6,0,0,4
2,7,3,10,2,15,5,1,5,11,6,1,1,32,2,0,24,7,2,1,11,4,10,4,5,24,1,7,13,19,3,13,1,3,0,6,7,8,9,18,9,1,1,12,6,12,11,13,14,11,2,10,6,2,0,8
5,34,30,20,16,27,44,14,23,13,27,30,9,25,6,27,0,170,52,25,20,22,22,31,26,86,7,38,46,45,11,19,17,26,27,15,51,47,35,22,45,6,13,33,26,16,33,20,27,26,21,27,15,12,16,39
2,21,6,27,5,35,37,21,23,9,24,17,5,31,4,6,164,0,34,8,20,13,36,21,8,59,1,12,48,30,11,25,10,12,28,13,27,46,45,31,32,8,10,29,15,13,35,17,31,33,20,32,20,14,20,28
3,11,4,47,3,26,13,8,30,12,31,13,3,28,2,2,48,33,0,4,37,3,23,6,5,31,1,17,36,34,14,15,6,1,13,32,12,20,29,25,19,4,12,12,3,8,24,28,34,31,28,45,15,5,7,30
5,8,4,13,5,15,1,9,7,3,2,2,0,27,1,1,18,8,4,0,9,2,8,3,3,31,3,12,14,11,0,3,1,6,0,2,8,1,10,9,3,7,0,10,8,12,6,3,14,12,3,5,7,7,2,8
2,23,15,22,15,30,30,15,16,12,28,23,10,22,7,10,19,23,39,9,0,24,28,34,18,13,3,4,24,23,16,23,28,10,27,22,31,23,32,43,24,1,17,27,7,16,19,24,20,15,14,25,18,2,14,22
