0,3,13,24,4,16,13,1,44,1,2,50,10,28,4,16,31,14,12,35,16,7,28,8,12,30,14,37,33,43,34,25,8,9,15,8,21,26,2,34,5,7,15,6,5,30,22,12,6,20,32,53,34,20,5,15,41,14,15,23,8
3,0,0,4,2,1,0,3,12,3,0,4,1,5,1,2,3,1,2,4,9,0,4,7,1,4,1,7,14,1,3,3,0,0,4,2,0,8,2,2,1,2,3,0,5,4,5,6,2,8,0,7,0,6,4,1,4,0,0,5,5
13,0,0,14,12,16,15,2,24,2,0,19,3,19,6,12,15,9,10,13,18,0,12,4,6,13,6,15,22,9,8,13,3,5,2,5,16,17,0,13,0,13,6,11,11,10,8,9,13,6,14,21,11,9,2,14,12,12,10,9,2
28,3,11,0,10,14,11,0,34,4,5,30,28,20,16,39,28,42,22,21,19,5,21,15,26,29,16,33,33,29,34,46,16,22,28,23,35,27,11,15,10,37,8,22,14,21,26,7,16,10,21,35,28,23,13,25,26,19,34,26,7
5,2,10,9,0,13,4,0,15,1,0,12,2,9,2,8,12,10,6,11,12,5,17,3,2,16,4,17,6,8,16,1,0,5,4,1,8,26,0,7,0,3,7,4,4,13,8,20,5,11,9,19,13,7,3,9,11,5,4,10,3
16,1,12,15,11,0,12,0,18,2,1,33,7,18,10,16,18,17,5,15,22,5,18,10,9,15,13,15,16,13,35,20,2,8,4,14,17,17,3,18,2,10,5,8,17,15,17,3,7,19,22,29,14,9,4,20,14,12,17,22,0
14,0,15,15,5,11,0,4,21,7,1,26,7,16,8,16,21,19,15,7,21,1,11,15,5,12,20,14,28,14,19,36,0,12,5,13,19,31,4,17,3,23,3,5,16,18,10,8,15,14,25,20,20,11,9,10,22,21,10,23,2
1,4,2,0,0,2,4,0,13,6,0,11,0,8,4,3,0,3,0,2,12,0,2,2,1,3,3,12,12,3,6,10,0,1,0,3,4,6,1,0,0,6,1,4,5,4,3,1,3,3,1,3,0,0,3,4,6,4,0,1,0
45,13,25,32,16,20,23,12,0,3,4,47,11,28,10,19,27,28,22,35,23,5,44,34,7,34,15,29,55,42,46,35,17,18,23,25,31,32,11,44,9,33,19,23,23,39,44,19,29,42,46,77,38,22,15,21,29,36,22,40,7
1,2,2,4,1,2,7,6,3,0,0,3,0,6,1,2,1,1,0,2,3,0,8,3,0,9,1,3,4,0,7,0,0,0,0,1,1,5,0,0,0,1,16,4,8,3,1,10,4,2,2,12,0,1,0,0,1,5,0,0,0
2,0,0,5,0,1,1,0,4,0,0,3,0,3,0,2,4,3,3,1,3,7,2,2,6,4,0,7,9,7,4,2,1,2,2,0,1,19,0,7,1,1,16,1,0,5,1,10,0,6,4,9,5,5,1,1,9,2,0,0,0
48,3,25,31,13,31,27,14,40,3,3,0,9,33,9,16,25,33,17,13,31,12,28,16,17,42,16,38,43,58,51,32,17,17,23,24,14,34,4,28,8,27,12,24,23,26,25,11,16,28,40,47,31,10,5,11,32,27,21,31,6
