0,1,5,0,1,2,5,3,4,4,6,11,0,6,8,1,5,4,12,11,11,5,2,7,5,3,7,3,3,10,5,11,1,1,1,1,19,19,2,1,1,17,28,33,10,16,4,4,6,0,8,8,15,8
3,0,3,5,4,10,4,6,7,6,3,11,5,7,13,1,5,2,4,3,6,4,7,6,3,1,3,7,2,4,10,8,3,11,0,0,4,12,12,1,9,8,7,6,1,17,0,6,7,0,10,8,4,5
4,3,0,2,4,0,3,5,1,3,3,9,2,6,3,4,2,18,2,7,5,2,2,0,7,1,3,2,5,10,7,2,3,6,0,1,14,17,3,8,2,21,15,17,7,5,4,1,5,0,2,5,9,3
0,3,2,0,1,4,3,0,2,7,5,4,1,2,5,1,1,1,13,5,5,3,5,3,1,0,4,3,6,3,3,8,0,5,2,0,8,15,1,0,1,7,13,9,2,2,1,1,4,0,1,3,8,1
2,5,4,2,0,9,4,7,26,21,17,12,12,9,11,9,7,13,3,16,13,5,12,17,17,0,11,16,11,11,6,17,2,5,2,0,9,25,8,7,2,25,52,43,5,10,10,2,9,0,5,5,5,3
2,10,0,4,9,0,8,5,8,12,2,2,4,6,12,4,4,7,6,8,2,7,11,7,16,0,2,15,4,7,7,11,1,1,2,0,11,24,2,1,2,24,28,24,4,6,2,2,7,0,3,1,3,5
5,5,3,3,4,8,0,1,8,7,7,10,3,7,9,8,3,5,13,6,9,3,23,10,13,0,5,6,5,10,3,15,3,4,0,1,11,16,2,4,1,16,43,34,4,8,3,1,10,0,1,2,16,4
3,5,5,0,7,5,1,0,11,10,8,10,4,8,10,7,3,8,6,17,11,3,9,3,12,0,3,15,13,8,6,19,3,1,0,0,13,23,4,6,4,21,37,37,8,5,3,3,3,0,5,1,15,1
4,6,2,2,26,8,8,11,0,2,6,10,0,2,10,4,5,7,5,4,9,5,2,6,15,2,0,2,9,6,11,4,4,2,0,0,18,19,1,5,2,21,38,31,4,4,6,3,11,0,1,2,4,2
4,6,3,7,21,12,7,10,2,0,8,4,5,7,8,9,4,2,4,16,4,4,14,13,22,2,4,6,9,12,8,14,2,7,0,0,18,17,0,2,4,27,44,33,4,7,2,1,7,0,1,3,10,2
6,3,3,5,17,2,7,7,6,8,0,12,2,3,5,2,7,9,9,12,3,2,20,1,18,1,2,5,1,6,4,6,1,2,0,1,16,18,5,4,5,29,50,32,5,8,4,1,8,0,2,3,10,1
10,7,9,5,10,2,11,11,10,3,12,0,11,7,14,7,4,13,14,6,11,9,20,7,16,2,9,10,6,16,19,15,3,7,0,0,24,35,8,12,6,35,38,36,9,5,7,7,14,1,3,6,13,10
0,4,2,1,12,4,3,4,0,5,2,12,0,5,4,5,2,5,2,17,6,5,9,3,16,0,1,2,1,6,9,3,2,3,0,0,14,18,3,4,3,19,42,28,7,3,1,1,7,0,1,1,3,1
6,8,6,1,9,5,7,7,2,7,3,6,5,0,8,3,7,10,5,7,9,2,11,11,28,0,3,1,3,8,3,12,2,5,0,0,16,19,5,5,2,20,41,21,4,4,8,0,8,0,4,4,10,2
8,8,3,6,10,12,9,10,10,8,5,15,4,7,0,5,4,11,13,16,8,2,16,4,23,0,3,10,5,12,8,18,2,7,0,1,9,12,2,5,8,27,37,29,3,5,6,5,6,0,5,1,7,5
1,1,4,1,8,4,8,7,4,8,2,7,5,3,5,0,6,13,3,7,6,2,1,1,10,1,4,4,1,7,4,0,1,7,0,1,19,15,5,5,6,24,35,22,6,9,8,0,6,0,2,2,14,2
5,5,2,1,7,4,3,3,5,4,7,3,2,7,4,6,0,4,14,11,14,9,2,3,14,7,6,5,2,7,2,7,4,6,0,0,27,20,8,1,5,20,32,37,20,23,14,6,10,0,3,3,14,6
4,2,20,1,12,7,5,7,8,2,8,12,5,10,10,13,5,0,22,16,19,9,9,12,22,4,12,10,9,37,16,18,11,19,2,7,22,22,15,12,5,19,25,27,20,27,23,2,13,1,8,12,22,12
10,2,2,11,2,6,11,6,4,4,9,12,2,5,13,3,14,19,0,13,54,20,8,7,8,2,5,6,7,25,13,16,14,20,0,3,33,20,7,4,16,20,26,39,8,16,13,6,9,0,4,6,11,3
12,4,7,8,13,9,8,22,4,18,12,7,18,6,19,7,9,18,15,0,16,6,3,9,39,3,11,9,7,18,12,68,4,12,1,0,22,34,8,4,7,34,38,49,12,4,9,4,17,0,27,30,52,24
8,3,5,4,12,2,8,10,8,4,3,11,7,10,7,6,13,16,44,17,0,20,9,8,20,3,5,9,12,33,13,21,12,24,1,0,33,15,5,5,10,16,33,24,9,12,8,8,5,0,11,3,19,10
3,1,2,2,5,6,1,2,5,2,1,9,5,2,2,2,9,10,21,5,17,0,0,4,7,4,5,8,1,14,11,3,3,5,0,0,13,25,5,1,7,23,37,37,1,4,2,3,6,0,6,5,8,0
