0,3,12,27,4,17,13,1,44,1,1,45,9,26,4,11,31,10,12,31,21,4,22,8,10,28,12,39,32,37,34,23,7,9,15,6,21,28,1,36,5,7,13,6,5,28,20,14,6,24,29,52,32,23,4,11,36,14,13,19,6
3,0,0,5,2,1,0,3,13,3,0,4,1,4,1,1,1,1,2,4,9,0,5,7,1,4,1,7,14,1,3,3,0,0,4,2,0,6,2,2,1,1,3,0,3,5,5,5,2,6,0,7,0,6,4,1,3,0,0,5,4
12,0,0,13,12,19,14,2,24,2,0,19,3,19,6,11,16,9,10,13,18,0,11,3,6,12,4,14,20,9,8,13,3,5,2,5,16,17,0,14,0,11,7,9,10,7,7,8,12,6,13,21,11,9,2,12,10,11,10,10,2
31,4,11,0,9,17,12,0,39,4,5,28,25,24,13,44,34,39,24,21,22,5,22,14,24,33,17,37,39,30,42,44,16,20,24,22,35,28,9,15,10,34,7,17,14,25,28,7,13,14,22,36,32,22,11,21,27,18,35,28,4
4,2,10,9,0,13,4,0,10,1,0,11,1,8,2,8,10,10,6,9,12,5,15,2,1,13,3,14,6,6,16,1,0,4,2,0,6,22,0,6,0,1,10,3,4,12,8,19,5,12,9,18,14,7,3,7,10,4,3,8,1
19,1,12,15,11,0,13,0,19,2,1,32,6,20,9,15,14,16,5,15,24,4,20,10,7,18,13,16,14,13,34,18,2,7,4,13,15,20,2,17,2,11,5,6,14,19,20,4,7,19,21,29,15,6,4,17,16,12,17,21,0
14,0,14,16,5,12,0,4,20,7,1,25,5,16,7,16,21,19,12,7,17,0,12,15,4,11,20,13,28,16,20,35,0,9,4,14,18,33,2,18,3,23,4,5,15,17,10,7,14,16,24,21,20,13,8,10,22,20,8,23,0
1,4,2,0,0,2,4,0,13,6,0,11,0,8,4,3,0,3,0,2,12,0,2,2,1,3,3,12,12,3,6,10,0,1,0,3,4,6,1,0,0,6,1,4,5,4,3,1,3,3,1,3,0,0,3,4,6,4,0,1,0
43,13,24,36,10,22,23,12,0,3,4,44,10,27,10,18,28,26,21,34,27,6,48,34,5,33,12,33,52,43,46,32,16,16,21,24,29,35,9,45,7,30,18,21,23,38,42,21,27,44,44,79,38,25,12,19,32,36,21,38,3
1,2,2,4,1,2,7,6,3,0,0,3,0,6,1,2,1,1,0,2,3,0,8,3,0,9,1,3,4,0,7,0,0,0,0,1,1,5,0,0,0,1,16,4,8,3,0,10,4,2,2,12,0,1,0,0,1,5,0,0,0
1,0,0,5,0,1,1,0,4,0,0,3,0,3,0,2,4,3,3,1,3,6,1,2,5,3,0,7,10,6,4,2,1,2,1,0,1,15,0,7,1,1,14,0,0,4,1,9,0,6,4,8,5,4,1,0,9,2,0,0,0
46,3,25,34,12,31,28,14,39,3,3,0,8,34,6,15,23,31,18,14,32,14,30,13,17,40,11,36,41,57,54,32,17,17,20,24,14,37,4,29,8,27,14,23,22,31,22,11,16,31,38,40,29,13,5,9,29,24,19,26,4
9,1,3,27,1,7,6,0,11,0,0,9,0,27,17,43,55,9,38,37,33,6,20,5,1,18,5,26,7,6,16,7,3,0,5,0,4,40,0,58,3,7,24,5,2,13,11,25,0,7,5,10,11,30,0,2,13,2,4,4,0
32,3,23,26,6,22,16,9,37,6,3,37,26,0,17,113,76,52,117,163,190,6,76,22,12,66,34,69,24,29,41,33,8,10,19,10,24,37,1,89,7,23,7,13,8,14,15,4,5,15,18,47,24,29,9,13,33,20,12,21,8
5,1,6,14,2,9,9,5,10,1,0,5,17,17,0,25,34,14,64,73,83,4,15,5,3,22,2,21,5,5,23,8,2,3,4,2,6,32,0,63,1,5,24,0,2,15,3,21,3,11,4,9,6,23,4,5,9,6,5,7,0
12,1,11,43,8,17,16,2,26,2,2,18,43,107,25,0,19,32,43,130,42,7,89,13,6,51,20,63,12,23,35,10,7,10,10,9,11,39,2,31,7,18,16,10,9,21,12,9,14,22,10,33,25,32,5,5,31,12,14,11,2
40,3,19,28,11,28,19,0,43,1,4,33,55,66,33,16,0,10,105,45,132,8,21,20,11,34,13,40,31,25,40,34,12,10,17,9,29,35,2,221,1,14,13,7,11,33,21,16,9,33,26,50,36,21,0,10,32,25,18,32,4
10,1,10,39,10,16,22,3,30,1,3,35,9,45,14,32,10,0,21,75,14,12,71,7,1,33,16,38,9,11,33,8,5,10,6,6,9,45,1,16,6,21,9,7,5,25,6,16,2,13,15,26,21,23,3,6,41,8,6,17,2
12,1,12,25,6,8,14,0,31,0,3,22,40,124,63,46,106,22,0,68,100,8,30,12,0,27,7,28,20,23,39,24,8,4,9,3,16,22,1,82,7,5,8,3,5,17,12,13,4,11,16,37,36,27,4,7,36,9,9,21,2
35,4,19,38,9,26,11,4,47,2,1,31,37,188,75,138,53,78,66,0,131,14,90,24,4,73,41,61,26,27,67,35,4,7,18,13,14,36,1,59,21,31,8,14,9,21,11,9,9,20,21,47,25,26,10,12,45,21,14,21,2
24,8,22,23,13,29,17,11,29,4,3,38,32,172,80,36,129,14,82,90,0,4,16,33,19,31,20,68,46,34,54,57,20,16,30,11,52,33,10,84,7,20,4,6,12,15,20,4,6,26,23,31,27,18,9,26,35,36,34,39,6
6,0,0,5,5,4,0,0,8,0,6,15,7,4,5,11,6,15,7,9,3,0,4,5,6,13,8,6,10,10,10,11,9,6,14,8,6,7,3,5,9,15,2,8,3,6,7,5,4,6,7,4,3,4,3,1,3,9,6,10,1
31,6,11,33,18,31,21,4,75,8,1,50,21,85,15,95,22,77,31,96,31,8,0,29,16,109,88,71,47,35,61,27,10,11,30,26,28,38,4,42,63,140,25,51,40,63,46,53,14,47,49,47,34,33,16,11,39,29,14,47,9
8,5,3,12,3,12,15,2,33,3,2,13,5,23,5,13,20,7,12,24,36,2,22,0,0,3,1,7,17,10,26,12,6,6,3,8,5,44,1,24,2,6,21,3,5,9,11,24,12,15,15,32,4,15,5,7,15,7,5,17,2
8,1,6,24,1,7,4,1,5,0,5,17,1,11,3,5,12,1,0,4,19,6,13,0,0,0,2,1,3,20,16,1,2,2,2,4,5,33,1,19,2,1,25,1,2,21,8,15,4,15,10,17,3,15,0,4,18,2,4,11,2
