"","ventromedial hypothalamic nucleus, dorsomedial part","dorsomedial nucleus of hypothalamus","submedius thalamic nucleus","ventromedial thalamic nucleus","dorsomedial hypothalamic nucleus, ventral part","dorsomedial hypothalamic nucleus, dorsal part","posterior hypothalamic area"
"ventromedial hypothalamic nucleus, dorsomedial part",112,511,199,107,287,871,699
"dorsomedial nucleus of hypothalamus",764,8717,870,525,2124,3896,3685
"submedius thalamic nucleus",194,599,146,121,471,994,942
"ventromedial thalamic nucleus",110,390,123,6,186,463,472
"dorsomedial hypothalamic nucleus, ventral part",355,1844,528,251,1665,3441,1772
"dorsomedial hypothalamic nucleus, dorsal part",920,2870,1060,506,3221,4233,4076
"posterior hypothalamic area",753,2678,962,457,1570,4047,3398
